Index,L1,L2
351,T cell,CD8 Naive
352,B cell,Naive B
353,Progenitor cells,GMP
354,Progenitor cells,Prog_RBC
355,T cell,CD4 Naive
356,Mono/DC,CD14 Mono
357,NK,NK
358,T cell,CD4 Naive
359,Progenitor cells,Prog_RBC
360,Progenitor cells,GMP
361,T cell,CD4 Memory
362,Mono/DC,CD14 Mono
363,T cell,CD4 Naive
364,T cell,MAIT
365,NK,NK
366,T cell,CD4 Naive
367,Mono/DC,CD14 Mono
368,B cell,Naive B
369,T cell,CD8 Naive
370,T cell,CD4 Naive
371,T cell,CD8 Naive
372,T cell,CD4 Naive
373,T cell,CD8 Memory_2
374,T cell,CD8 Naive
375,B cell,Memory B
376,B cell,Naive B
377,Progenitor cells,GMP
378,Mono/DC,CD14 Mono
379,B cell,Memory B
380,Mono/DC,CD14 Mono
381,T cell,CD4 Naive
382,T cell,CD8 Naive
383,T cell,CD4 Naive
384,B cell,Memory B
385,Mono/DC,CD14 Mono
386,T cell,CD8 Effector_2
387,Mono/DC,CD14 Mono
388,Progenitor cells,Prog_Mk
389,B cell,Memory B
390,Progenitor cells,GMP
391,B cell,Memory B
392,B cell,Plasmablast
393,T cell,CD8 Naive
394,Progenitor cells,GMP
395,T cell,CD8 Memory_2
396,T cell,CD8 Memory_1
397,Progenitor cells,Prog_RBC
398,Mono/DC,CD14 Mono
399,Mono/DC,CD14 Mono
400,T cell,CD8 Naive
401,B cell,Memory B
402,NK,NK
403,Progenitor cells,LMPP
404,B cell,Naive B
405,Mono/DC,CD14 Mono
406,T cell,CD4 Naive
407,Mono/DC,CD14 Mono
408,T cell,CD8 Naive
409,T cell,MAIT
410,Mono/DC,CD14 Mono
411,T cell,CD4 Memory
412,Progenitor cells,Prog_RBC
413,T cell,CD8 Naive
414,Mono/DC,CD14 Mono
415,T cell,CD8 Naive
416,B cell,Naive B
417,T cell,CD8 Memory_1
418,T cell,CD8 Memory_2
419,T cell,CD4 Memory
420,Mono/DC,CD14 Mono
421,T cell,CD8 Naive
422,Mono/DC,CD14 Mono
423,T cell,CD4 Naive
424,B cell,Memory B
425,T cell,CD8 Naive
426,T cell,CD4 Memory
427,Mono/DC,cDC2
428,T cell,CD8 Naive
429,Mono/DC,CD14 Mono
430,Progenitor cells,HSC
431,Mono/DC,CD14 Mono
432,Mono/DC,CD14 Mono
433,T cell,CD4 Naive
434,Progenitor cells,Prog_DC
435,T cell,CD4 Naive
436,B cell,Memory B
437,Mono/DC,CD14 Mono
438,T cell,CD8 Naive
439,T cell,CD4 Naive
440,B cell,Memory B
441,Mono/DC,CD14 Mono
442,Mono/DC,CD14 Mono
443,T cell,CD8 Naive
444,Progenitor cells,Prog_B 2
445,T cell,CD4 Naive
446,T cell,CD8 Naive
447,B cell,Naive B
448,Progenitor cells,Prog_RBC
449,T cell,CD8 Naive
450,T cell,CD8 Naive
451,NK,NK
452,B cell,Plasmablast
453,Mono/DC,CD14 Mono
454,T cell,CD8 Naive
455,Mono/DC,CD14 Mono
456,Mono/DC,CD14 Mono
457,T cell,CD8 Memory_1
458,T cell,CD4 Memory
459,B cell,Plasmablast
460,B cell,Memory B
461,Mono/DC,CD14 Mono
462,Mono/DC,CD14 Mono
463,Mono/DC,CD14 Mono
464,T cell,Treg
465,T cell,CD4 Naive
466,Mono/DC,cDC2
467,T cell,CD4 Memory
468,Progenitor cells,GMP
469,T cell,CD4 Memory
470,Progenitor cells,Prog_RBC
471,T cell,MAIT
472,T cell,CD8 Naive
473,Progenitor cells,LMPP
474,T cell,CD4 Memory
475,T cell,CD4 Memory
476,T cell,CD4 Naive
477,Mono/DC,CD14 Mono
478,Mono/DC,CD14 Mono
479,T cell,CD8 Naive
480,Mono/DC,CD14 Mono
481,T cell,CD8 Memory_2
482,Mono/DC,CD14 Mono
483,T cell,CD4 Naive
484,Mono/DC,CD14 Mono
485,T cell,gdT
486,Progenitor cells,GMP
487,B cell,Naive B
488,T cell,MAIT
489,B cell,Memory B
490,T cell,Treg
491,T cell,CD8 Memory_2
492,T cell,CD8 Naive
493,Mono/DC,CD14 Mono
494,T cell,CD8 Naive
495,Mono/DC,CD14 Mono
496,B cell,Naive B
497,T cell,CD4 Memory
498,Mono/DC,CD14 Mono
499,T cell,CD4 Memory
500,NK,NK
501,T cell,CD8 Naive
502,Mono/DC,CD14 Mono
503,Progenitor cells,LMPP
504,Mono/DC,CD14 Mono
505,T cell,CD8 Naive
506,T cell,CD8 Naive
507,T cell,CD8 Naive
508,Mono/DC,CD14 Mono
509,Mono/DC,CD14 Mono
510,Mono/DC,CD14 Mono
511,T cell,CD8 Effector_1
512,Mono/DC,CD14 Mono
513,Mono/DC,CD14 Mono
514,Mono/DC,CD14 Mono
515,NK,NK
516,Mono/DC,CD14 Mono
517,Mono/DC,CD14 Mono
518,Mono/DC,CD14 Mono
519,T cell,CD8 Naive
520,Progenitor cells,Prog_RBC
521,T cell,CD8 Naive
522,Mono/DC,cDC2
523,T cell,CD4 Memory
524,Progenitor cells,Prog_RBC
525,Mono/DC,CD14 Mono
526,Mono/DC,CD14 Mono
527,NK,NK
528,Mono/DC,CD14 Mono
529,T cell,CD4 Naive
530,NK,NK
531,Progenitor cells,Prog_Mk
532,T cell,CD8 Naive
533,T cell,CD4 Naive
534,B cell,Memory B
535,Mono/DC,CD14 Mono
536,T cell,CD4 Naive
537,Mono/DC,CD14 Mono
538,Mono/DC,CD14 Mono
539,Mono/DC,CD14 Mono
540,T cell,CD4 Memory
541,Progenitor cells,Prog_DC
542,T cell,CD8 Memory_1
543,Progenitor cells,HSC
544,T cell,CD8 Naive
545,Mono/DC,CD14 Mono
546,Mono/DC,CD14 Mono
547,T cell,CD4 Naive
548,T cell,CD4 Memory
549,T cell,CD4 Naive
550,T cell,CD4 Naive
551,Mono/DC,CD16 Mono
552,T cell,Treg
553,T cell,CD8 Naive
554,T cell,CD4 Naive
555,T cell,CD4 Naive
556,T cell,CD4 Memory
557,B cell,Memory B
558,T cell,CD8 Naive
559,Mono/DC,CD14 Mono
560,T cell,CD4 Naive
561,T cell,CD4 Memory
562,T cell,CD4 Memory
563,Progenitor cells,HSC
564,Progenitor cells,Prog_RBC
565,T cell,CD4 Naive
566,T cell,CD4 Naive
567,T cell,CD4 Memory
568,T cell,CD4 Memory
569,B cell,Memory B
570,NK,CD56 bright NK
571,Mono/DC,CD14 Mono
572,T cell,MAIT
573,T cell,CD8 Naive
574,B cell,Memory B
575,T cell,CD4 Memory
576,Mono/DC,CD14 Mono
577,Progenitor cells,LMPP
578,Mono/DC,CD14 Mono
579,T cell,CD4 Naive
580,T cell,CD4 Naive
581,T cell,CD4 Memory
582,Mono/DC,CD14 Mono
583,Mono/DC,CD14 Mono
584,Mono/DC,CD16 Mono
585,T cell,CD8 Naive
586,T cell,CD4 Memory
587,Mono/DC,CD14 Mono
588,Progenitor cells,Prog_RBC
589,B cell,Naive B
590,B cell,Naive B
591,Mono/DC,CD14 Mono
592,B cell,Naive B
593,Progenitor cells,Prog_RBC
594,Mono/DC,CD14 Mono
595,T cell,CD8 Naive
596,Progenitor cells,Prog_RBC
597,Mono/DC,CD14 Mono
598,T cell,CD4 Naive
599,B cell,Plasmablast
600,B cell,Plasmablast
601,Mono/DC,cDC2
602,T cell,CD8 Memory_1
603,T cell,CD4 Memory
604,T cell,CD4 Naive
605,T cell,CD4 Memory
606,T cell,CD4 Memory
607,T cell,CD8 Naive
608,Mono/DC,CD14 Mono
609,T cell,CD8 Memory_2
610,T cell,CD4 Naive
611,T cell,CD8 Memory_2
612,Mono/DC,cDC2
613,Mono/DC,CD14 Mono
614,T cell,CD8 Memory_2
615,Mono/DC,CD14 Mono
616,Progenitor cells,Prog_B 2
617,T cell,CD4 Naive
618,T cell,CD8 Memory_2
619,T cell,CD8 Memory_1
620,T cell,CD8 Naive
621,Mono/DC,CD14 Mono
622,Mono/DC,CD14 Mono
623,T cell,CD8 Naive
624,B cell,Naive B
625,B cell,Memory B
626,Progenitor cells,HSC
627,Mono/DC,CD16 Mono
628,Mono/DC,CD14 Mono
629,Mono/DC,cDC2
630,T cell,CD4 Naive
631,Mono/DC,CD14 Mono
632,T cell,CD4 Memory
633,T cell,CD4 Naive
634,T cell,CD8 Memory_1
635,T cell,CD4 Naive
636,Mono/DC,cDC2
637,T cell,CD4 Memory
638,Mono/DC,cDC2
639,T cell,CD8 Naive
640,T cell,CD4 Naive
641,Progenitor cells,Prog_B 2
642,T cell,CD4 Memory
643,Mono/DC,CD14 Mono
644,Progenitor cells,Prog_Mk
645,T cell,CD8 Effector_1
646,T cell,CD4 Naive
647,T cell,CD4 Memory
648,Mono/DC,CD14 Mono
649,T cell,CD8 Effector_2
650,Progenitor cells,Prog_DC
651,T cell,CD8 Naive
652,T cell,CD8 Effector_1
653,T cell,CD4 Naive
654,T cell,CD8 Effector_2
655,Mono/DC,CD14 Mono
656,Progenitor cells,Prog_RBC
657,T cell,CD8 Naive
658,Mono/DC,CD14 Mono
659,T cell,CD4 Naive
660,T cell,CD8 Memory_2
661,T cell,CD4 Naive
662,T cell,CD8 Naive
663,Mono/DC,CD14 Mono
664,T cell,CD8 Naive
665,Mono/DC,CD14 Mono
666,Mono/DC,CD14 Mono
667,Mono/DC,CD14 Mono
668,Mono/DC,CD14 Mono
669,T cell,CD4 Memory
670,T cell,CD4 Memory
671,T cell,CD4 Memory
672,Mono/DC,CD14 Mono
673,B cell,Naive B
674,T cell,CD4 Memory
675,Progenitor cells,GMP
676,T cell,CD8 Naive
677,B cell,Naive B
678,B cell,Naive B
679,T cell,CD4 Memory
680,Mono/DC,CD14 Mono
681,T cell,CD8 Effector_1
682,T cell,CD8 Naive
683,Progenitor cells,GMP
684,Mono/DC,CD14 Mono
685,B cell,Memory B
686,Progenitor cells,Prog_RBC
687,Mono/DC,CD14 Mono
688,Progenitor cells,Prog_RBC
689,NK,NK
690,Progenitor cells,LMPP
691,Mono/DC,CD14 Mono
692,T cell,CD8 Effector_2
693,Mono/DC,cDC2
694,Mono/DC,CD14 Mono
695,Mono/DC,cDC2
696,B cell,Naive B
697,Progenitor cells,LMPP
698,B cell,Naive B
699,T cell,CD8 Naive
700,T cell,CD8 Naive
701,Mono/DC,CD14 Mono
702,Mono/DC,CD14 Mono
703,T cell,CD4 Naive
704,B cell,Naive B
705,T cell,CD8 Memory_2
706,T cell,CD4 Memory
707,T cell,CD4 Naive
708,Mono/DC,CD14 Mono
709,Mono/DC,CD14 Mono
710,B cell,Naive B
711,Progenitor cells,GMP
712,T cell,CD8 Memory_1
713,Mono/DC,CD14 Mono
714,T cell,CD8 Memory_1
715,T cell,CD8 Naive
716,B cell,Memory B
717,Mono/DC,CD14 Mono
718,Mono/DC,CD14 Mono
719,Progenitor cells,Prog_RBC
720,B cell,Memory B
721,Mono/DC,CD14 Mono
722,T cell,CD8 Naive
723,Mono/DC,CD14 Mono
724,Mono/DC,cDC2
725,B cell,Memory B
726,T cell,CD4 Naive
727,Mono/DC,cDC2
728,Mono/DC,CD14 Mono
729,Mono/DC,CD14 Mono
730,T cell,gdT
731,T cell,CD8 Naive
732,Progenitor cells,LMPP
733,T cell,CD4 Naive
734,T cell,CD8 Naive
735,T cell,CD4 Memory
736,Mono/DC,CD14 Mono
737,T cell,CD8 Naive
738,Mono/DC,CD14 Mono
739,T cell,CD4 Naive
740,B cell,Plasmablast
741,Mono/DC,CD14 Mono
742,T cell,CD4 Naive
743,T cell,CD8 Naive
744,T cell,CD4 Naive
745,T cell,CD4 Naive
746,T cell,CD4 Naive
747,B cell,Naive B
748,T cell,CD4 Memory
749,Progenitor cells,Prog_B 2
750,Mono/DC,CD14 Mono
751,Mono/DC,CD14 Mono
752,Mono/DC,CD14 Mono
753,Mono/DC,CD14 Mono
754,Mono/DC,CD14 Mono
755,Mono/DC,cDC2
756,T cell,CD4 Naive
757,T cell,CD8 Memory_1
758,T cell,CD8 Naive
759,T cell,CD4 Memory
760,Mono/DC,CD14 Mono
761,T cell,CD8 Naive
762,Mono/DC,pDC
763,T cell,CD4 Naive
764,T cell,CD4 Naive
765,T cell,CD4 Naive
766,T cell,Treg
767,Mono/DC,CD14 Mono
768,Mono/DC,CD14 Mono
769,NK,NK
770,T cell,CD8 Effector_2
771,T cell,CD4 Memory
772,T cell,CD8 Naive
773,T cell,CD4 Naive
774,T cell,CD4 Memory
775,Mono/DC,CD14 Mono
776,Mono/DC,CD14 Mono
777,Mono/DC,CD14 Mono
778,T cell,CD8 Naive
779,B cell,Naive B
780,Mono/DC,CD14 Mono
781,T cell,CD4 Naive
782,Progenitor cells,GMP
783,B cell,Memory B
784,T cell,CD4 Naive
785,T cell,CD8 Naive
786,Mono/DC,CD14 Mono
787,T cell,CD8 Naive
788,Mono/DC,CD14 Mono
789,T cell,CD4 Memory
790,Mono/DC,CD14 Mono
791,T cell,CD8 Naive
792,Mono/DC,CD16 Mono
793,T cell,CD4 Naive
794,B cell,Naive B
795,B cell,Naive B
796,NK,NK
797,T cell,CD8 Naive
798,T cell,CD4 Naive
799,T cell,CD8 Memory_1
800,T cell,CD4 Naive
801,T cell,CD4 Naive
802,Mono/DC,CD14 Mono
803,T cell,CD4 Naive
804,T cell,MAIT
805,B cell,Naive B
806,Progenitor cells,LMPP
807,Progenitor cells,GMP
808,T cell,CD4 Memory
809,Mono/DC,CD14 Mono
810,B cell,Naive B
811,NK,NK
812,T cell,CD4 Naive
813,Progenitor cells,Prog_RBC
814,Mono/DC,CD14 Mono
815,B cell,Naive B
816,T cell,CD4 Naive
817,T cell,CD4 Memory
818,T cell,CD4 Naive
819,T cell,CD4 Memory
820,Mono/DC,CD14 Mono
821,T cell,CD8 Naive
822,B cell,Naive B
823,Mono/DC,CD14 Mono
824,B cell,Naive B
825,Mono/DC,CD14 Mono
826,Mono/DC,CD14 Mono
827,Mono/DC,cDC2
828,T cell,CD4 Naive
829,T cell,CD4 Naive
830,T cell,CD8 Naive
831,T cell,CD4 Memory
832,B cell,Naive B
833,B cell,Naive B
834,T cell,CD4 Naive
835,Mono/DC,CD14 Mono
836,T cell,CD4 Memory
837,Mono/DC,CD14 Mono
838,T cell,CD8 Naive
839,Mono/DC,CD14 Mono
840,Progenitor cells,Prog_RBC
841,T cell,MAIT
842,T cell,CD8 Naive
843,T cell,CD8 Naive
844,T cell,Treg
845,T cell,CD4 Memory
846,B cell,Naive B
847,T cell,CD4 Memory
848,Mono/DC,CD14 Mono
849,T cell,CD4 Naive
850,T cell,CD8 Effector_1
851,T cell,CD8 Naive
852,Progenitor cells,Prog_RBC
853,T cell,CD8 Effector_1
854,T cell,CD4 Memory
855,T cell,CD4 Naive
856,T cell,CD8 Naive
857,B cell,Naive B
858,Mono/DC,CD14 Mono
859,T cell,CD4 Naive
860,Mono/DC,CD14 Mono
861,B cell,Memory B
862,Mono/DC,CD14 Mono
863,Progenitor cells,Prog_RBC
864,T cell,CD4 Naive
865,Progenitor cells,HSC
866,B cell,Memory B
867,T cell,CD4 Naive
868,NK,NK
869,Mono/DC,CD14 Mono
870,T cell,MAIT
871,T cell,CD8 Naive
872,Mono/DC,CD14 Mono
873,NK,NK
874,T cell,CD4 Naive
875,Mono/DC,CD14 Mono
876,T cell,CD4 Memory
877,Mono/DC,CD14 Mono
878,Mono/DC,CD14 Mono
879,B cell,Naive B
880,Mono/DC,CD14 Mono
881,T cell,CD8 Naive
882,Mono/DC,CD14 Mono
883,B cell,Naive B
884,Progenitor cells,LMPP
885,Mono/DC,CD14 Mono
886,T cell,CD4 Memory
887,Mono/DC,CD14 Mono
888,T cell,CD4 Memory
889,B cell,Naive B
890,B cell,Memory B
891,T cell,CD8 Naive
892,B cell,Memory B
893,Progenitor cells,GMP
894,Mono/DC,CD14 Mono
895,Mono/DC,pDC
896,T cell,CD4 Memory
897,T cell,MAIT
898,Mono/DC,CD14 Mono
899,T cell,CD4 Naive
900,T cell,CD4 Naive
901,T cell,Treg
902,T cell,CD4 Memory
903,B cell,Naive B
904,T cell,CD8 Naive
905,B cell,Naive B
906,T cell,CD4 Naive
907,T cell,CD8 Naive
908,T cell,CD4 Naive
909,B cell,Naive B
910,Mono/DC,CD14 Mono
911,T cell,CD4 Naive
912,B cell,Memory B
913,T cell,CD4 Memory
914,Progenitor cells,Prog_DC
915,Mono/DC,CD14 Mono
916,B cell,Naive B
917,Mono/DC,CD14 Mono
918,T cell,CD8 Naive
919,Progenitor cells,Prog_RBC
920,T cell,MAIT
921,Progenitor cells,GMP
922,T cell,CD8 Naive
923,T cell,CD8 Naive
924,Progenitor cells,HSC
925,T cell,CD4 Naive
926,T cell,CD8 Naive
927,T cell,CD4 Memory
928,T cell,CD4 Memory
929,Mono/DC,CD14 Mono
930,Mono/DC,CD14 Mono
931,B cell,Plasmablast
932,T cell,CD8 Naive
933,Progenitor cells,GMP
934,Mono/DC,CD14 Mono
935,T cell,CD8 Naive
936,T cell,CD8 Naive
937,T cell,CD8 Naive
938,Mono/DC,CD14 Mono
939,B cell,Memory B
940,T cell,CD8 Memory_2
941,Mono/DC,CD14 Mono
942,Mono/DC,CD14 Mono
943,Mono/DC,CD14 Mono
944,B cell,Naive B
945,Progenitor cells,Prog_DC
946,B cell,Naive B
947,T cell,CD8 Effector_1
948,Mono/DC,CD14 Mono
949,T cell,CD4 Memory
950,B cell,Naive B
951,T cell,CD4 Naive
952,Progenitor cells,Prog_RBC
953,T cell,Treg
954,B cell,Naive B
955,T cell,CD4 Naive
956,T cell,CD4 Naive
957,Mono/DC,CD14 Mono
958,NK,NK
959,Mono/DC,CD14 Mono
960,T cell,CD4 Memory
961,Mono/DC,CD16 Mono
962,Mono/DC,pDC
963,Mono/DC,CD14 Mono
964,Mono/DC,CD14 Mono
965,Mono/DC,CD14 Mono
966,B cell,Memory B
967,Progenitor cells,Prog_RBC
968,Progenitor cells,HSC
