Index,L1,L2,L1_02
37_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
38_ADT,T cell,CD4 Memory,T cell_ADT
39_ADT,Mono/DC,CD16 Mono,Mono/DC_ADT
40_ADT,Progenitor cells,GMP,Progenitor cells_ADT
41_ADT,Progenitor cells,GMP,Progenitor cells_ADT
42_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
43_ADT,T cell,CD4 Memory,T cell_ADT
44_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
45_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
46_ADT,T cell,CD4 Memory,T cell_ADT
47_ADT,T cell,CD4 Naive,T cell_ADT
48_ADT,NK,NK,NK_ADT
49_ADT,Mono/DC,pDC,Mono/DC_ADT
50_ADT,T cell,CD4 Memory,T cell_ADT
51_ADT,T cell,CD4 Memory,T cell_ADT
52_ADT,T cell,CD4 Naive,T cell_ADT
53_ADT,T cell,CD8 Memory_1,T cell_ADT
54_ADT,T cell,CD8 Naive,T cell_ADT
55_ADT,T cell,CD8 Naive,T cell_ADT
56_ADT,Mono/DC,pDC,Mono/DC_ADT
57_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
58_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
59_ADT,T cell,CD4 Naive,T cell_ADT
60_ADT,Mono/DC,CD16 Mono,Mono/DC_ADT
61_ADT,T cell,CD4 Naive,T cell_ADT
62_ADT,T cell,MAIT,T cell_ADT
63_ADT,T cell,CD8 Naive,T cell_ADT
64_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
65_ADT,B cell,Memory B,B cell_ADT
66_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
67_ADT,T cell,CD4 Naive,T cell_ADT
68_ADT,T cell,CD8 Naive,T cell_ADT
69_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
70_ADT,T cell,CD4 Memory,T cell_ADT
71_ADT,B cell,Naive B,B cell_ADT
72_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
73_ADT,T cell,CD8 Effector_2,T cell_ADT
74_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
75_ADT,T cell,CD8 Naive,T cell_ADT
76_ADT,T cell,CD8 Naive,T cell_ADT
77_ADT,T cell,CD4 Memory,T cell_ADT
78_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
79_ADT,T cell,gdT,T cell_ADT
80_ADT,T cell,CD8 Effector_2,T cell_ADT
81_ADT,T cell,CD4 Memory,T cell_ADT
82_ADT,Mono/DC,cDC2,Mono/DC_ADT
83_ADT,T cell,CD8 Naive,T cell_ADT
84_ADT,T cell,CD4 Memory,T cell_ADT
85_ADT,T cell,MAIT,T cell_ADT
86_ADT,T cell,CD8 Naive,T cell_ADT
87_ADT,T cell,CD8 Memory_1,T cell_ADT
88_ADT,NK,NK,NK_ADT
89_ADT,B cell,Naive B,B cell_ADT
90_ADT,NK,NK,NK_ADT
91_ADT,T cell,CD4 Naive,T cell_ADT
92_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
93_ADT,Mono/DC,cDC2,Mono/DC_ADT
94_ADT,T cell,CD4 Naive,T cell_ADT
95_ADT,T cell,CD4 Memory,T cell_ADT
96_ADT,Progenitor cells,GMP,Progenitor cells_ADT
97_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
98_ADT,T cell,CD4 Naive,T cell_ADT
99_ADT,B cell,Naive B,B cell_ADT
100_ADT,NK,NK,NK_ADT
101_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
102_ADT,T cell,CD8 Naive,T cell_ADT
103_ADT,T cell,CD4 Memory,T cell_ADT
104_ADT,T cell,CD4 Memory,T cell_ADT
105_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
106_ADT,T cell,CD4 Memory,T cell_ADT
107_ADT,T cell,CD4 Naive,T cell_ADT
108_ADT,B cell,Memory B,B cell_ADT
109_ADT,T cell,CD4 Naive,T cell_ADT
110_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
111_ADT,T cell,CD4 Naive,T cell_ADT
112_ADT,T cell,CD4 Memory,T cell_ADT
113_ADT,T cell,CD8 Memory_1,T cell_ADT
114_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
115_ADT,T cell,CD4 Memory,T cell_ADT
116_ADT,T cell,CD4 Naive,T cell_ADT
117_ADT,NK,CD56 bright NK,NK_ADT
118_ADT,Mono/DC,pDC,Mono/DC_ADT
119_ADT,T cell,CD4 Naive,T cell_ADT
120_ADT,B cell,Memory B,B cell_ADT
121_ADT,T cell,CD4 Memory,T cell_ADT
122_ADT,Progenitor cells,GMP,Progenitor cells_ADT
123_ADT,T cell,CD8 Naive,T cell_ADT
124_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
125_ADT,T cell,CD8 Naive,T cell_ADT
126_ADT,T cell,CD4 Memory,T cell_ADT
127_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
128_ADT,T cell,CD4 Naive,T cell_ADT
129_ADT,T cell,CD4 Memory,T cell_ADT
130_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
131_ADT,T cell,CD8 Naive,T cell_ADT
132_ADT,T cell,CD4 Naive,T cell_ADT
133_ADT,T cell,CD4 Naive,T cell_ADT
134_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
135_ADT,T cell,CD4 Naive,T cell_ADT
136_ADT,T cell,CD4 Naive,T cell_ADT
137_ADT,NK,NK,NK_ADT
138_ADT,T cell,CD4 Memory,T cell_ADT
139_ADT,T cell,CD8 Effector_1,T cell_ADT
140_ADT,T cell,CD4 Naive,T cell_ADT
141_ADT,B cell,Memory B,B cell_ADT
142_ADT,Mono/DC,pDC,Mono/DC_ADT
143_ADT,T cell,CD4 Naive,T cell_ADT
144_ADT,T cell,CD4 Naive,T cell_ADT
145_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
146_ADT,Progenitor cells,Prog_B 2,Progenitor cells_ADT
147_ADT,T cell,MAIT,T cell_ADT
148_ADT,T cell,CD8 Naive,T cell_ADT
149_ADT,Mono/DC,cDC2,Mono/DC_ADT
150_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
151_ADT,T cell,CD4 Memory,T cell_ADT
152_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
153_ADT,T cell,CD8 Naive,T cell_ADT
154_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
155_ADT,T cell,CD4 Memory,T cell_ADT
156_ADT,B cell,Naive B,B cell_ADT
157_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
158_ADT,NK,NK,NK_ADT
159_ADT,B cell,Naive B,B cell_ADT
160_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
161_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
162_ADT,B cell,Naive B,B cell_ADT
163_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
164_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
165_ADT,T cell,CD4 Naive,T cell_ADT
166_ADT,Progenitor cells,Prog_B 2,Progenitor cells_ADT
167_ADT,T cell,MAIT,T cell_ADT
168_ADT,Progenitor cells,Prog_Mk,Progenitor cells_ADT
169_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
170_ADT,B cell,Memory B,B cell_ADT
171_ADT,B cell,Memory B,B cell_ADT
172_ADT,T cell,CD4 Memory,T cell_ADT
173_ADT,T cell,CD8 Effector_1,T cell_ADT
174_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
175_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
176_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
177_ADT,NK,NK,NK_ADT
178_ADT,T cell,CD8 Naive,T cell_ADT
179_ADT,T cell,CD8 Naive,T cell_ADT
180_ADT,NK,NK,NK_ADT
181_ADT,Mono/DC,cDC2,Mono/DC_ADT
182_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
183_ADT,T cell,CD4 Naive,T cell_ADT
184_ADT,T cell,CD4 Naive,T cell_ADT
185_ADT,Progenitor cells,GMP,Progenitor cells_ADT
186_ADT,T cell,CD4 Naive,T cell_ADT
187_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
188_ADT,T cell,CD8 Naive,T cell_ADT
189_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
190_ADT,T cell,Treg,T cell_ADT
191_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
192_ADT,T cell,CD8 Naive,T cell_ADT
193_ADT,T cell,CD4 Naive,T cell_ADT
194_ADT,Mono/DC,cDC2,Mono/DC_ADT
195_ADT,T cell,gdT,T cell_ADT
196_ADT,T cell,CD4 Memory,T cell_ADT
197_ADT,T cell,CD8 Memory_2,T cell_ADT
198_ADT,B cell,Naive B,B cell_ADT
199_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
200_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
201_ADT,B cell,Plasmablast,B cell_ADT
202_ADT,T cell,CD4 Memory,T cell_ADT
203_ADT,T cell,CD4 Memory,T cell_ADT
204_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
205_ADT,NK,NK,NK_ADT
206_ADT,T cell,CD8 Naive,T cell_ADT
207_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
208_ADT,T cell,CD4 Naive,T cell_ADT
209_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
210_ADT,T cell,CD8 Naive,T cell_ADT
211_ADT,T cell,CD8 Effector_1,T cell_ADT
212_ADT,Progenitor cells,HSC,Progenitor cells_ADT
213_ADT,B cell,Naive B,B cell_ADT
214_ADT,T cell,CD8 Naive,T cell_ADT
215_ADT,Progenitor cells,GMP,Progenitor cells_ADT
216_ADT,T cell,CD4 Naive,T cell_ADT
217_ADT,NK,NK,NK_ADT
218_ADT,T cell,CD8 Effector_1,T cell_ADT
219_ADT,T cell,CD8 Naive,T cell_ADT
220_ADT,B cell,Naive B,B cell_ADT
221_ADT,B cell,Naive B,B cell_ADT
222_ADT,T cell,CD8 Naive,T cell_ADT
223_ADT,Progenitor cells,LMPP,Progenitor cells_ADT
224_ADT,T cell,CD8 Memory_2,T cell_ADT
225_ADT,T cell,CD8 Naive,T cell_ADT
226_ADT,T cell,CD4 Memory,T cell_ADT
227_ADT,T cell,CD4 Memory,T cell_ADT
228_ADT,Mono/DC,CD16 Mono,Mono/DC_ADT
229_ADT,T cell,CD8 Naive,T cell_ADT
230_ADT,T cell,CD4 Memory,T cell_ADT
231_ADT,B cell,Naive B,B cell_ADT
232_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
233_ADT,T cell,CD8 Memory_2,T cell_ADT
234_ADT,Mono/DC,pDC,Mono/DC_ADT
235_ADT,T cell,CD8 Naive,T cell_ADT
236_ADT,T cell,CD4 Memory,T cell_ADT
237_ADT,T cell,CD8 Naive,T cell_ADT
238_ADT,Progenitor cells,Prog_DC,Progenitor cells_ADT
239_ADT,T cell,CD8 Memory_2,T cell_ADT
240_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
241_ADT,T cell,CD4 Memory,T cell_ADT
242_ADT,B cell,Naive B,B cell_ADT
243_ADT,Progenitor cells,LMPP,Progenitor cells_ADT
244_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
245_ADT,T cell,CD4 Naive,T cell_ADT
246_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
247_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
248_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
249_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
250_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
251_ADT,T cell,CD8 Naive,T cell_ADT
252_ADT,B cell,Naive B,B cell_ADT
253_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
254_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
255_ADT,T cell,CD4 Naive,T cell_ADT
256_ADT,Progenitor cells,Prog_B 1,Progenitor cells_ADT
257_ADT,B cell,Memory B,B cell_ADT
258_ADT,T cell,CD4 Memory,T cell_ADT
259_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
260_ADT,T cell,CD8 Naive,T cell_ADT
261_ADT,T cell,CD4 Memory,T cell_ADT
262_ADT,T cell,CD4 Naive,T cell_ADT
263_ADT,T cell,CD4 Memory,T cell_ADT
264_ADT,B cell,Naive B,B cell_ADT
265_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
266_ADT,T cell,gdT,T cell_ADT
267_ADT,T cell,CD4 Memory,T cell_ADT
268_ADT,T cell,CD4 Memory,T cell_ADT
269_ADT,B cell,Naive B,B cell_ADT
270_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
271_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
272_ADT,T cell,CD8 Naive,T cell_ADT
273_ADT,T cell,CD8 Naive,T cell_ADT
274_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
275_ADT,Progenitor cells,GMP,Progenitor cells_ADT
276_ADT,Progenitor cells,HSC,Progenitor cells_ADT
277_ADT,B cell,Naive B,B cell_ADT
278_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
279_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
280_ADT,T cell,CD8 Naive,T cell_ADT
281_ADT,T cell,MAIT,T cell_ADT
282_ADT,B cell,Memory B,B cell_ADT
283_ADT,T cell,CD4 Naive,T cell_ADT
284_ADT,B cell,Memory B,B cell_ADT
285_ADT,Progenitor cells,GMP,Progenitor cells_ADT
286_ADT,Progenitor cells,Prog_B 1,Progenitor cells_ADT
287_ADT,T cell,CD8 Naive,T cell_ADT
288_ADT,T cell,CD4 Memory,T cell_ADT
289_ADT,T cell,CD8 Effector_1,T cell_ADT
290_ADT,B cell,Memory B,B cell_ADT
291_ADT,B cell,Memory B,B cell_ADT
292_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
293_ADT,T cell,CD4 Naive,T cell_ADT
294_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
295_ADT,T cell,CD4 Naive,T cell_ADT
296_ADT,NK,NK,NK_ADT
297_ADT,T cell,CD8 Effector_2,T cell_ADT
298_ADT,T cell,CD4 Memory,T cell_ADT
299_ADT,Mono/DC,pDC,Mono/DC_ADT
300_ADT,T cell,CD8 Effector_1,T cell_ADT
301_ADT,T cell,CD8 Naive,T cell_ADT
302_ADT,T cell,CD8 Naive,T cell_ADT
303_ADT,B cell,Memory B,B cell_ADT
304_ADT,T cell,CD8 Naive,T cell_ADT
305_ADT,B cell,Naive B,B cell_ADT
306_ADT,B cell,Naive B,B cell_ADT
307_ADT,NK,NK,NK_ADT
308_ADT,NK,NK,NK_ADT
309_ADT,Progenitor cells,Prog_B 1,Progenitor cells_ADT
310_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
311_ADT,B cell,Memory B,B cell_ADT
312_ADT,T cell,gdT,T cell_ADT
313_ADT,T cell,CD4 Naive,T cell_ADT
314_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
315_ADT,B cell,Memory B,B cell_ADT
316_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
317_ADT,T cell,CD4 Naive,T cell_ADT
318_ADT,Progenitor cells,GMP,Progenitor cells_ADT
319_ADT,B cell,Naive B,B cell_ADT
320_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
321_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
322_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
323_ADT,T cell,CD4 Naive,T cell_ADT
324_ADT,T cell,CD8 Naive,T cell_ADT
325_ADT,T cell,CD4 Naive,T cell_ADT
326_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
327_ADT,T cell,CD8 Naive,T cell_ADT
328_ADT,Progenitor cells,LMPP,Progenitor cells_ADT
329_ADT,T cell,CD4 Naive,T cell_ADT
330_ADT,T cell,CD8 Naive,T cell_ADT
331_ADT,T cell,CD8 Naive,T cell_ADT
332_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
333_ADT,Mono/DC,pDC,Mono/DC_ADT
334_ADT,T cell,CD8 Naive,T cell_ADT
335_ADT,T cell,MAIT,T cell_ADT
336_ADT,T cell,CD4 Memory,T cell_ADT
337_ADT,NK,NK,NK_ADT
338_ADT,T cell,CD4 Memory,T cell_ADT
339_ADT,T cell,MAIT,T cell_ADT
340_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
341_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
342_ADT,T cell,CD8 Memory_2,T cell_ADT
343_ADT,T cell,CD4 Memory,T cell_ADT
344_ADT,T cell,CD4 Memory,T cell_ADT
345_ADT,T cell,CD8 Naive,T cell_ADT
346_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
347_ADT,NK,NK,NK_ADT
348_ADT,T cell,MAIT,T cell_ADT
349_ADT,T cell,CD4 Memory,T cell_ADT
350_ADT,B cell,Naive B,B cell_ADT
351_ADT,T cell,CD8 Naive,T cell_ADT
352_ADT,B cell,Naive B,B cell_ADT
353_ADT,Progenitor cells,GMP,Progenitor cells_ADT
354_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
355_ADT,T cell,CD4 Naive,T cell_ADT
356_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
357_ADT,NK,NK,NK_ADT
358_ADT,T cell,CD4 Naive,T cell_ADT
359_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
360_ADT,Progenitor cells,GMP,Progenitor cells_ADT
361_ADT,T cell,CD4 Memory,T cell_ADT
362_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
363_ADT,T cell,CD4 Naive,T cell_ADT
364_ADT,T cell,MAIT,T cell_ADT
365_ADT,NK,NK,NK_ADT
366_ADT,T cell,CD4 Naive,T cell_ADT
367_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
368_ADT,B cell,Naive B,B cell_ADT
369_ADT,T cell,CD8 Naive,T cell_ADT
370_ADT,T cell,CD4 Naive,T cell_ADT
371_ADT,T cell,CD8 Naive,T cell_ADT
372_ADT,T cell,CD4 Naive,T cell_ADT
373_ADT,T cell,CD8 Memory_2,T cell_ADT
374_ADT,T cell,CD8 Naive,T cell_ADT
375_ADT,B cell,Memory B,B cell_ADT
376_ADT,B cell,Naive B,B cell_ADT
377_ADT,Progenitor cells,GMP,Progenitor cells_ADT
378_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
379_ADT,B cell,Memory B,B cell_ADT
380_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
381_ADT,T cell,CD4 Naive,T cell_ADT
382_ADT,T cell,CD8 Naive,T cell_ADT
383_ADT,T cell,CD4 Naive,T cell_ADT
384_ADT,B cell,Memory B,B cell_ADT
385_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
386_ADT,T cell,CD8 Effector_2,T cell_ADT
387_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
388_ADT,Progenitor cells,Prog_Mk,Progenitor cells_ADT
389_ADT,B cell,Memory B,B cell_ADT
390_ADT,Progenitor cells,GMP,Progenitor cells_ADT
391_ADT,B cell,Memory B,B cell_ADT
392_ADT,B cell,Plasmablast,B cell_ADT
393_ADT,T cell,CD8 Naive,T cell_ADT
394_ADT,Progenitor cells,GMP,Progenitor cells_ADT
395_ADT,T cell,CD8 Memory_2,T cell_ADT
396_ADT,T cell,CD8 Memory_1,T cell_ADT
397_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
398_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
399_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
400_ADT,T cell,CD8 Naive,T cell_ADT
401_ADT,B cell,Memory B,B cell_ADT
402_ADT,NK,NK,NK_ADT
403_ADT,Progenitor cells,LMPP,Progenitor cells_ADT
404_ADT,B cell,Naive B,B cell_ADT
405_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
406_ADT,T cell,CD4 Naive,T cell_ADT
407_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
408_ADT,T cell,CD8 Naive,T cell_ADT
409_ADT,T cell,MAIT,T cell_ADT
410_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
411_ADT,T cell,CD4 Memory,T cell_ADT
412_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
413_ADT,T cell,CD8 Naive,T cell_ADT
414_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
415_ADT,T cell,CD8 Naive,T cell_ADT
416_ADT,B cell,Naive B,B cell_ADT
417_ADT,T cell,CD8 Memory_1,T cell_ADT
418_ADT,T cell,CD8 Memory_2,T cell_ADT
419_ADT,T cell,CD4 Memory,T cell_ADT
420_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
421_ADT,T cell,CD8 Naive,T cell_ADT
422_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
423_ADT,T cell,CD4 Naive,T cell_ADT
424_ADT,B cell,Memory B,B cell_ADT
425_ADT,T cell,CD8 Naive,T cell_ADT
426_ADT,T cell,CD4 Memory,T cell_ADT
427_ADT,Mono/DC,cDC2,Mono/DC_ADT
428_ADT,T cell,CD8 Naive,T cell_ADT
429_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
430_ADT,Progenitor cells,HSC,Progenitor cells_ADT
431_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
432_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
433_ADT,T cell,CD4 Naive,T cell_ADT
434_ADT,Progenitor cells,Prog_DC,Progenitor cells_ADT
435_ADT,T cell,CD4 Naive,T cell_ADT
436_ADT,B cell,Memory B,B cell_ADT
437_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
438_ADT,T cell,CD8 Naive,T cell_ADT
439_ADT,T cell,CD4 Naive,T cell_ADT
440_ADT,B cell,Memory B,B cell_ADT
441_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
442_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
443_ADT,T cell,CD8 Naive,T cell_ADT
444_ADT,Progenitor cells,Prog_B 2,Progenitor cells_ADT
445_ADT,T cell,CD4 Naive,T cell_ADT
446_ADT,T cell,CD8 Naive,T cell_ADT
447_ADT,B cell,Naive B,B cell_ADT
448_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
449_ADT,T cell,CD8 Naive,T cell_ADT
450_ADT,T cell,CD8 Naive,T cell_ADT
451_ADT,NK,NK,NK_ADT
452_ADT,B cell,Plasmablast,B cell_ADT
453_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
454_ADT,T cell,CD8 Naive,T cell_ADT
455_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
456_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
457_ADT,T cell,CD8 Memory_1,T cell_ADT
458_ADT,T cell,CD4 Memory,T cell_ADT
459_ADT,B cell,Plasmablast,B cell_ADT
460_ADT,B cell,Memory B,B cell_ADT
461_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
462_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
463_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
464_ADT,T cell,Treg,T cell_ADT
465_ADT,T cell,CD4 Naive,T cell_ADT
466_ADT,Mono/DC,cDC2,Mono/DC_ADT
467_ADT,T cell,CD4 Memory,T cell_ADT
468_ADT,Progenitor cells,GMP,Progenitor cells_ADT
469_ADT,T cell,CD4 Memory,T cell_ADT
470_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
471_ADT,T cell,MAIT,T cell_ADT
472_ADT,T cell,CD8 Naive,T cell_ADT
473_ADT,Progenitor cells,LMPP,Progenitor cells_ADT
474_ADT,T cell,CD4 Memory,T cell_ADT
475_ADT,T cell,CD4 Memory,T cell_ADT
476_ADT,T cell,CD4 Naive,T cell_ADT
477_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
478_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
479_ADT,T cell,CD8 Naive,T cell_ADT
480_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
481_ADT,T cell,CD8 Memory_2,T cell_ADT
482_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
483_ADT,T cell,CD4 Naive,T cell_ADT
484_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
485_ADT,T cell,gdT,T cell_ADT
486_ADT,Progenitor cells,GMP,Progenitor cells_ADT
487_ADT,B cell,Naive B,B cell_ADT
488_ADT,T cell,MAIT,T cell_ADT
489_ADT,B cell,Memory B,B cell_ADT
490_ADT,T cell,Treg,T cell_ADT
491_ADT,T cell,CD8 Memory_2,T cell_ADT
492_ADT,T cell,CD8 Naive,T cell_ADT
493_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
494_ADT,T cell,CD8 Naive,T cell_ADT
495_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
496_ADT,B cell,Naive B,B cell_ADT
497_ADT,T cell,CD4 Memory,T cell_ADT
498_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
499_ADT,T cell,CD4 Memory,T cell_ADT
500_ADT,NK,NK,NK_ADT
501_ADT,T cell,CD8 Naive,T cell_ADT
502_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
503_ADT,Progenitor cells,LMPP,Progenitor cells_ADT
504_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
505_ADT,T cell,CD8 Naive,T cell_ADT
506_ADT,T cell,CD8 Naive,T cell_ADT
507_ADT,T cell,CD8 Naive,T cell_ADT
508_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
