Index,Flag,L1,L2,L1_02
582_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
584_RNA,1,Mono/DC,CD16 Mono,Mono/DC_RNA
586_RNA,1,T cell,CD4 Memory,T cell_RNA
588_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
591_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
592_RNA,1,B cell,Naive B,B cell_RNA
593_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
598_RNA,1,T cell,CD4 Naive,T cell_RNA
599_RNA,1,B cell,Plasmablast,B cell_RNA
600_RNA,1,B cell,Plasmablast,B cell_RNA
601_RNA,1,Mono/DC,cDC2,Mono/DC_RNA
602_RNA,1,T cell,CD8 Memory_1,T cell_RNA
605_RNA,1,T cell,CD4 Memory,T cell_RNA
607_RNA,1,T cell,CD8 Naive,T cell_RNA
608_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
610_RNA,1,T cell,CD4 Naive,T cell_RNA
611_RNA,1,T cell,CD8 Memory_2,T cell_RNA
612_RNA,1,Mono/DC,cDC2,Mono/DC_RNA
615_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
616_RNA,1,Progenitor cells,Prog_B 2,Progenitor cells_RNA
617_RNA,1,T cell,CD4 Naive,T cell_RNA
619_RNA,1,T cell,CD8 Memory_1,T cell_RNA
623_RNA,1,T cell,CD8 Naive,T cell_RNA
624_RNA,1,B cell,Naive B,B cell_RNA
625_RNA,1,B cell,Memory B,B cell_RNA
631_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
632_RNA,1,T cell,CD4 Memory,T cell_RNA
633_RNA,1,T cell,CD4 Naive,T cell_RNA
635_RNA,1,T cell,CD4 Naive,T cell_RNA
637_RNA,1,T cell,CD4 Memory,T cell_RNA
638_RNA,1,Mono/DC,cDC2,Mono/DC_RNA
641_RNA,1,Progenitor cells,Prog_B 2,Progenitor cells_RNA
642_RNA,1,T cell,CD4 Memory,T cell_RNA
645_RNA,1,T cell,CD8 Effector_1,T cell_RNA
647_RNA,1,T cell,CD4 Memory,T cell_RNA
648_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
652_RNA,1,T cell,CD8 Effector_1,T cell_RNA
653_RNA,1,T cell,CD4 Naive,T cell_RNA
654_RNA,1,T cell,CD8 Effector_2,T cell_RNA
657_RNA,1,T cell,CD8 Naive,T cell_RNA
658_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
660_RNA,1,T cell,CD8 Memory_2,T cell_RNA
662_RNA,1,T cell,CD8 Naive,T cell_RNA
663_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
668_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
671_RNA,1,T cell,CD4 Memory,T cell_RNA
673_RNA,1,B cell,Naive B,B cell_RNA
674_RNA,1,T cell,CD4 Memory,T cell_RNA
675_RNA,1,Progenitor cells,GMP,Progenitor cells_RNA
676_RNA,1,T cell,CD8 Naive,T cell_RNA
678_RNA,1,B cell,Naive B,B cell_RNA
680_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
682_RNA,1,T cell,CD8 Naive,T cell_RNA
687_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
688_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
690_RNA,1,Progenitor cells,LMPP,Progenitor cells_RNA
694_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
700_RNA,1,T cell,CD8 Naive,T cell_RNA
702_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
703_RNA,1,T cell,CD4 Naive,T cell_RNA
704_RNA,1,B cell,Naive B,B cell_RNA
705_RNA,1,T cell,CD8 Memory_2,T cell_RNA
712_RNA,1,T cell,CD8 Memory_1,T cell_RNA
713_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
716_RNA,1,B cell,Memory B,B cell_RNA
717_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
719_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
720_RNA,1,B cell,Memory B,B cell_RNA
723_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
724_RNA,1,Mono/DC,cDC2,Mono/DC_RNA
725_RNA,1,B cell,Memory B,B cell_RNA
728_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
729_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
731_RNA,1,T cell,CD8 Naive,T cell_RNA
732_RNA,1,Progenitor cells,LMPP,Progenitor cells_RNA
733_RNA,1,T cell,CD4 Naive,T cell_RNA
734_RNA,1,T cell,CD8 Naive,T cell_RNA
738_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
741_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
742_RNA,1,T cell,CD4 Naive,T cell_RNA
743_RNA,1,T cell,CD8 Naive,T cell_RNA
747_RNA,1,B cell,Naive B,B cell_RNA
751_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
753_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
758_RNA,1,T cell,CD8 Naive,T cell_RNA
762_RNA,1,Mono/DC,pDC,Mono/DC_RNA
764_RNA,1,T cell,CD4 Naive,T cell_RNA
769_RNA,1,NK,NK,NK_RNA
771_RNA,1,T cell,CD4 Memory,T cell_RNA
774_RNA,1,T cell,CD4 Memory,T cell_RNA
779_RNA,1,B cell,Naive B,B cell_RNA
780_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
783_RNA,1,B cell,Memory B,B cell_RNA
786_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
788_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
789_RNA,1,T cell,CD4 Memory,T cell_RNA
794_RNA,1,B cell,Naive B,B cell_RNA
795_RNA,1,B cell,Naive B,B cell_RNA
797_RNA,1,T cell,CD8 Naive,T cell_RNA
799_RNA,1,T cell,CD8 Memory_1,T cell_RNA
800_RNA,1,T cell,CD4 Naive,T cell_RNA
802_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
803_RNA,1,T cell,CD4 Naive,T cell_RNA
809_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
814_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
815_RNA,1,B cell,Naive B,B cell_RNA
816_RNA,1,T cell,CD4 Naive,T cell_RNA
819_RNA,1,T cell,CD4 Memory,T cell_RNA
822_RNA,1,B cell,Naive B,B cell_RNA
823_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
825_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
828_RNA,1,T cell,CD4 Naive,T cell_RNA
831_RNA,1,T cell,CD4 Memory,T cell_RNA
832_RNA,1,B cell,Naive B,B cell_RNA
833_RNA,1,B cell,Naive B,B cell_RNA
835_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
838_RNA,1,T cell,CD8 Naive,T cell_RNA
840_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
841_RNA,1,T cell,MAIT,T cell_RNA
842_RNA,1,T cell,CD8 Naive,T cell_RNA
844_RNA,1,T cell,Treg,T cell_RNA
846_RNA,1,B cell,Naive B,B cell_RNA
848_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
849_RNA,1,T cell,CD4 Naive,T cell_RNA
851_RNA,1,T cell,CD8 Naive,T cell_RNA
852_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
855_RNA,1,T cell,CD4 Naive,T cell_RNA
856_RNA,1,T cell,CD8 Naive,T cell_RNA
857_RNA,1,B cell,Naive B,B cell_RNA
861_RNA,1,B cell,Memory B,B cell_RNA
864_RNA,1,T cell,CD4 Naive,T cell_RNA
866_RNA,1,B cell,Memory B,B cell_RNA
867_RNA,1,T cell,CD4 Naive,T cell_RNA
871_RNA,1,T cell,CD8 Naive,T cell_RNA
872_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
874_RNA,1,T cell,CD4 Naive,T cell_RNA
875_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
876_RNA,1,T cell,CD4 Memory,T cell_RNA
878_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
880_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
881_RNA,1,T cell,CD8 Naive,T cell_RNA
883_RNA,1,B cell,Naive B,B cell_RNA
884_RNA,1,Progenitor cells,LMPP,Progenitor cells_RNA
885_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
886_RNA,1,T cell,CD4 Memory,T cell_RNA
888_RNA,1,T cell,CD4 Memory,T cell_RNA
891_RNA,1,T cell,CD8 Naive,T cell_RNA
892_RNA,1,B cell,Memory B,B cell_RNA
894_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
898_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
899_RNA,1,T cell,CD4 Naive,T cell_RNA
900_RNA,1,T cell,CD4 Naive,T cell_RNA
901_RNA,1,T cell,Treg,T cell_RNA
902_RNA,1,T cell,CD4 Memory,T cell_RNA
903_RNA,1,B cell,Naive B,B cell_RNA
908_RNA,1,T cell,CD4 Naive,T cell_RNA
910_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
911_RNA,1,T cell,CD4 Naive,T cell_RNA
914_RNA,1,Progenitor cells,Prog_DC,Progenitor cells_RNA
916_RNA,1,B cell,Naive B,B cell_RNA
920_RNA,1,T cell,MAIT,T cell_RNA
924_RNA,1,Progenitor cells,HSC,Progenitor cells_RNA
925_RNA,1,T cell,CD4 Naive,T cell_RNA
926_RNA,1,T cell,CD8 Naive,T cell_RNA
929_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
930_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
931_RNA,1,B cell,Plasmablast,B cell_RNA
932_RNA,1,T cell,CD8 Naive,T cell_RNA
934_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
935_RNA,1,T cell,CD8 Naive,T cell_RNA
940_RNA,1,T cell,CD8 Memory_2,T cell_RNA
941_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
944_RNA,1,B cell,Naive B,B cell_RNA
945_RNA,1,Progenitor cells,Prog_DC,Progenitor cells_RNA
946_RNA,1,B cell,Naive B,B cell_RNA
947_RNA,1,T cell,CD8 Effector_1,T cell_RNA
948_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
