Index,L1,L2,L1_02
62_RNA,T cell,MAIT,T cell_RNA
63_RNA,T cell,CD8 Naive,T cell_RNA
64_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
65_RNA,B cell,Memory B,B cell_RNA
66_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
67_RNA,T cell,CD4 Naive,T cell_RNA
68_RNA,T cell,CD8 Naive,T cell_RNA
69_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
70_RNA,T cell,CD4 Memory,T cell_RNA
71_RNA,B cell,Naive B,B cell_RNA
72_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
73_RNA,T cell,CD8 Effector_2,T cell_RNA
74_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
75_RNA,T cell,CD8 Naive,T cell_RNA
76_RNA,T cell,CD8 Naive,T cell_RNA
77_RNA,T cell,CD4 Memory,T cell_RNA
78_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
79_RNA,T cell,gdT,T cell_RNA
80_RNA,T cell,CD8 Effector_2,T cell_RNA
81_RNA,T cell,CD4 Memory,T cell_RNA
82_RNA,Mono/DC,cDC2,Mono/DC_RNA
83_RNA,T cell,CD8 Naive,T cell_RNA
84_RNA,T cell,CD4 Memory,T cell_RNA
85_RNA,T cell,MAIT,T cell_RNA
86_RNA,T cell,CD8 Naive,T cell_RNA
87_RNA,T cell,CD8 Memory_1,T cell_RNA
88_RNA,NK,NK,NK_RNA
89_RNA,B cell,Naive B,B cell_RNA
90_RNA,NK,NK,NK_RNA
91_RNA,T cell,CD4 Naive,T cell_RNA
92_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
93_RNA,Mono/DC,cDC2,Mono/DC_RNA
94_RNA,T cell,CD4 Naive,T cell_RNA
95_RNA,T cell,CD4 Memory,T cell_RNA
96_RNA,Progenitor cells,GMP,Progenitor cells_RNA
97_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
98_RNA,T cell,CD4 Naive,T cell_RNA
99_RNA,B cell,Naive B,B cell_RNA
100_RNA,NK,NK,NK_RNA
101_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
102_RNA,T cell,CD8 Naive,T cell_RNA
103_RNA,T cell,CD4 Memory,T cell_RNA
104_RNA,T cell,CD4 Memory,T cell_RNA
105_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
106_RNA,T cell,CD4 Memory,T cell_RNA
107_RNA,T cell,CD4 Naive,T cell_RNA
108_RNA,B cell,Memory B,B cell_RNA
109_RNA,T cell,CD4 Naive,T cell_RNA
110_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
111_RNA,T cell,CD4 Naive,T cell_RNA
112_RNA,T cell,CD4 Memory,T cell_RNA
113_RNA,T cell,CD8 Memory_1,T cell_RNA
114_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
115_RNA,T cell,CD4 Memory,T cell_RNA
116_RNA,T cell,CD4 Naive,T cell_RNA
117_RNA,NK,CD56 bright NK,NK_RNA
118_RNA,Mono/DC,pDC,Mono/DC_RNA
119_RNA,T cell,CD4 Naive,T cell_RNA
120_RNA,B cell,Memory B,B cell_RNA
121_RNA,T cell,CD4 Memory,T cell_RNA
122_RNA,Progenitor cells,GMP,Progenitor cells_RNA
123_RNA,T cell,CD8 Naive,T cell_RNA
124_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
125_RNA,T cell,CD8 Naive,T cell_RNA
126_RNA,T cell,CD4 Memory,T cell_RNA
127_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
128_RNA,T cell,CD4 Naive,T cell_RNA
129_RNA,T cell,CD4 Memory,T cell_RNA
130_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
131_RNA,T cell,CD8 Naive,T cell_RNA
132_RNA,T cell,CD4 Naive,T cell_RNA
133_RNA,T cell,CD4 Naive,T cell_RNA
134_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
135_RNA,T cell,CD4 Naive,T cell_RNA
136_RNA,T cell,CD4 Naive,T cell_RNA
137_RNA,NK,NK,NK_RNA
138_RNA,T cell,CD4 Memory,T cell_RNA
139_RNA,T cell,CD8 Effector_1,T cell_RNA
140_RNA,T cell,CD4 Naive,T cell_RNA
141_RNA,B cell,Memory B,B cell_RNA
142_RNA,Mono/DC,pDC,Mono/DC_RNA
143_RNA,T cell,CD4 Naive,T cell_RNA
144_RNA,T cell,CD4 Naive,T cell_RNA
145_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
146_RNA,Progenitor cells,Prog_B 2,Progenitor cells_RNA
147_RNA,T cell,MAIT,T cell_RNA
148_RNA,T cell,CD8 Naive,T cell_RNA
149_RNA,Mono/DC,cDC2,Mono/DC_RNA
150_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
151_RNA,T cell,CD4 Memory,T cell_RNA
152_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
153_RNA,T cell,CD8 Naive,T cell_RNA
154_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
155_RNA,T cell,CD4 Memory,T cell_RNA
156_RNA,B cell,Naive B,B cell_RNA
157_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
158_RNA,NK,NK,NK_RNA
159_RNA,B cell,Naive B,B cell_RNA
160_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
161_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
162_RNA,B cell,Naive B,B cell_RNA
163_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
164_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
165_RNA,T cell,CD4 Naive,T cell_RNA
166_RNA,Progenitor cells,Prog_B 2,Progenitor cells_RNA
167_RNA,T cell,MAIT,T cell_RNA
168_RNA,Progenitor cells,Prog_Mk,Progenitor cells_RNA
169_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
170_RNA,B cell,Memory B,B cell_RNA
171_RNA,B cell,Memory B,B cell_RNA
172_RNA,T cell,CD4 Memory,T cell_RNA
173_RNA,T cell,CD8 Effector_1,T cell_RNA
174_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
175_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
176_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
177_RNA,NK,NK,NK_RNA
178_RNA,T cell,CD8 Naive,T cell_RNA
179_RNA,T cell,CD8 Naive,T cell_RNA
180_RNA,NK,NK,NK_RNA
181_RNA,Mono/DC,cDC2,Mono/DC_RNA
182_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
183_RNA,T cell,CD4 Naive,T cell_RNA
184_RNA,T cell,CD4 Naive,T cell_RNA
185_RNA,Progenitor cells,GMP,Progenitor cells_RNA
186_RNA,T cell,CD4 Naive,T cell_RNA
187_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
188_RNA,T cell,CD8 Naive,T cell_RNA
189_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
190_RNA,T cell,Treg,T cell_RNA
191_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
192_RNA,T cell,CD8 Naive,T cell_RNA
193_RNA,T cell,CD4 Naive,T cell_RNA
194_RNA,Mono/DC,cDC2,Mono/DC_RNA
195_RNA,T cell,gdT,T cell_RNA
196_RNA,T cell,CD4 Memory,T cell_RNA
197_RNA,T cell,CD8 Memory_2,T cell_RNA
198_RNA,B cell,Naive B,B cell_RNA
199_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
200_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
201_RNA,B cell,Plasmablast,B cell_RNA
202_RNA,T cell,CD4 Memory,T cell_RNA
203_RNA,T cell,CD4 Memory,T cell_RNA
204_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
205_RNA,NK,NK,NK_RNA
206_RNA,T cell,CD8 Naive,T cell_RNA
207_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
208_RNA,T cell,CD4 Naive,T cell_RNA
209_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
210_RNA,T cell,CD8 Naive,T cell_RNA
211_RNA,T cell,CD8 Effector_1,T cell_RNA
212_RNA,Progenitor cells,HSC,Progenitor cells_RNA
213_RNA,B cell,Naive B,B cell_RNA
214_RNA,T cell,CD8 Naive,T cell_RNA
215_RNA,Progenitor cells,GMP,Progenitor cells_RNA
216_RNA,T cell,CD4 Naive,T cell_RNA
217_RNA,NK,NK,NK_RNA
218_RNA,T cell,CD8 Effector_1,T cell_RNA
219_RNA,T cell,CD8 Naive,T cell_RNA
220_RNA,B cell,Naive B,B cell_RNA
221_RNA,B cell,Naive B,B cell_RNA
222_RNA,T cell,CD8 Naive,T cell_RNA
223_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
224_RNA,T cell,CD8 Memory_2,T cell_RNA
225_RNA,T cell,CD8 Naive,T cell_RNA
226_RNA,T cell,CD4 Memory,T cell_RNA
227_RNA,T cell,CD4 Memory,T cell_RNA
228_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
229_RNA,T cell,CD8 Naive,T cell_RNA
230_RNA,T cell,CD4 Memory,T cell_RNA
231_RNA,B cell,Naive B,B cell_RNA
232_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
233_RNA,T cell,CD8 Memory_2,T cell_RNA
234_RNA,Mono/DC,pDC,Mono/DC_RNA
235_RNA,T cell,CD8 Naive,T cell_RNA
236_RNA,T cell,CD4 Memory,T cell_RNA
237_RNA,T cell,CD8 Naive,T cell_RNA
238_RNA,Progenitor cells,Prog_DC,Progenitor cells_RNA
239_RNA,T cell,CD8 Memory_2,T cell_RNA
240_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
241_RNA,T cell,CD4 Memory,T cell_RNA
242_RNA,B cell,Naive B,B cell_RNA
243_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
244_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
245_RNA,T cell,CD4 Naive,T cell_RNA
246_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
247_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
248_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
249_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
250_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
251_RNA,T cell,CD8 Naive,T cell_RNA
252_RNA,B cell,Naive B,B cell_RNA
253_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
254_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
255_RNA,T cell,CD4 Naive,T cell_RNA
256_RNA,Progenitor cells,Prog_B 1,Progenitor cells_RNA
257_RNA,B cell,Memory B,B cell_RNA
258_RNA,T cell,CD4 Memory,T cell_RNA
259_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
260_RNA,T cell,CD8 Naive,T cell_RNA
261_RNA,T cell,CD4 Memory,T cell_RNA
262_RNA,T cell,CD4 Naive,T cell_RNA
263_RNA,T cell,CD4 Memory,T cell_RNA
264_RNA,B cell,Naive B,B cell_RNA
265_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
266_RNA,T cell,gdT,T cell_RNA
267_RNA,T cell,CD4 Memory,T cell_RNA
268_RNA,T cell,CD4 Memory,T cell_RNA
269_RNA,B cell,Naive B,B cell_RNA
270_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
271_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
272_RNA,T cell,CD8 Naive,T cell_RNA
273_RNA,T cell,CD8 Naive,T cell_RNA
274_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
275_RNA,Progenitor cells,GMP,Progenitor cells_RNA
276_RNA,Progenitor cells,HSC,Progenitor cells_RNA
277_RNA,B cell,Naive B,B cell_RNA
278_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
279_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
280_RNA,T cell,CD8 Naive,T cell_RNA
281_RNA,T cell,MAIT,T cell_RNA
282_RNA,B cell,Memory B,B cell_RNA
283_RNA,T cell,CD4 Naive,T cell_RNA
284_RNA,B cell,Memory B,B cell_RNA
285_RNA,Progenitor cells,GMP,Progenitor cells_RNA
286_RNA,Progenitor cells,Prog_B 1,Progenitor cells_RNA
287_RNA,T cell,CD8 Naive,T cell_RNA
288_RNA,T cell,CD4 Memory,T cell_RNA
289_RNA,T cell,CD8 Effector_1,T cell_RNA
290_RNA,B cell,Memory B,B cell_RNA
291_RNA,B cell,Memory B,B cell_RNA
292_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
293_RNA,T cell,CD4 Naive,T cell_RNA
294_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
295_RNA,T cell,CD4 Naive,T cell_RNA
296_RNA,NK,NK,NK_RNA
297_RNA,T cell,CD8 Effector_2,T cell_RNA
298_RNA,T cell,CD4 Memory,T cell_RNA
299_RNA,Mono/DC,pDC,Mono/DC_RNA
300_RNA,T cell,CD8 Effector_1,T cell_RNA
301_RNA,T cell,CD8 Naive,T cell_RNA
302_RNA,T cell,CD8 Naive,T cell_RNA
303_RNA,B cell,Memory B,B cell_RNA
304_RNA,T cell,CD8 Naive,T cell_RNA
305_RNA,B cell,Naive B,B cell_RNA
306_RNA,B cell,Naive B,B cell_RNA
307_RNA,NK,NK,NK_RNA
308_RNA,NK,NK,NK_RNA
309_RNA,Progenitor cells,Prog_B 1,Progenitor cells_RNA
310_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
311_RNA,B cell,Memory B,B cell_RNA
312_RNA,T cell,gdT,T cell_RNA
313_RNA,T cell,CD4 Naive,T cell_RNA
314_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
315_RNA,B cell,Memory B,B cell_RNA
316_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
317_RNA,T cell,CD4 Naive,T cell_RNA
318_RNA,Progenitor cells,GMP,Progenitor cells_RNA
319_RNA,B cell,Naive B,B cell_RNA
320_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
321_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
322_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
323_RNA,T cell,CD4 Naive,T cell_RNA
324_RNA,T cell,CD8 Naive,T cell_RNA
325_RNA,T cell,CD4 Naive,T cell_RNA
326_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
327_RNA,T cell,CD8 Naive,T cell_RNA
328_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
329_RNA,T cell,CD4 Naive,T cell_RNA
330_RNA,T cell,CD8 Naive,T cell_RNA
331_RNA,T cell,CD8 Naive,T cell_RNA
332_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
333_RNA,Mono/DC,pDC,Mono/DC_RNA
334_RNA,T cell,CD8 Naive,T cell_RNA
335_RNA,T cell,MAIT,T cell_RNA
336_RNA,T cell,CD4 Memory,T cell_RNA
337_RNA,NK,NK,NK_RNA
338_RNA,T cell,CD4 Memory,T cell_RNA
339_RNA,T cell,MAIT,T cell_RNA
340_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
341_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
342_RNA,T cell,CD8 Memory_2,T cell_RNA
343_RNA,T cell,CD4 Memory,T cell_RNA
344_RNA,T cell,CD4 Memory,T cell_RNA
345_RNA,T cell,CD8 Naive,T cell_RNA
346_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
347_RNA,NK,NK,NK_RNA
348_RNA,T cell,MAIT,T cell_RNA
349_RNA,T cell,CD4 Memory,T cell_RNA
350_RNA,B cell,Naive B,B cell_RNA
351_RNA,T cell,CD8 Naive,T cell_RNA
352_RNA,B cell,Naive B,B cell_RNA
353_RNA,Progenitor cells,GMP,Progenitor cells_RNA
354_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
355_RNA,T cell,CD4 Naive,T cell_RNA
356_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
357_RNA,NK,NK,NK_RNA
358_RNA,T cell,CD4 Naive,T cell_RNA
359_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
360_RNA,Progenitor cells,GMP,Progenitor cells_RNA
361_RNA,T cell,CD4 Memory,T cell_RNA
362_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
363_RNA,T cell,CD4 Naive,T cell_RNA
364_RNA,T cell,MAIT,T cell_RNA
365_RNA,NK,NK,NK_RNA
366_RNA,T cell,CD4 Naive,T cell_RNA
367_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
368_RNA,B cell,Naive B,B cell_RNA
369_RNA,T cell,CD8 Naive,T cell_RNA
370_RNA,T cell,CD4 Naive,T cell_RNA
371_RNA,T cell,CD8 Naive,T cell_RNA
372_RNA,T cell,CD4 Naive,T cell_RNA
373_RNA,T cell,CD8 Memory_2,T cell_RNA
374_RNA,T cell,CD8 Naive,T cell_RNA
375_RNA,B cell,Memory B,B cell_RNA
376_RNA,B cell,Naive B,B cell_RNA
377_RNA,Progenitor cells,GMP,Progenitor cells_RNA
378_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
379_RNA,B cell,Memory B,B cell_RNA
380_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
381_RNA,T cell,CD4 Naive,T cell_RNA
382_RNA,T cell,CD8 Naive,T cell_RNA
383_RNA,T cell,CD4 Naive,T cell_RNA
384_RNA,B cell,Memory B,B cell_RNA
385_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
386_RNA,T cell,CD8 Effector_2,T cell_RNA
387_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
388_RNA,Progenitor cells,Prog_Mk,Progenitor cells_RNA
389_RNA,B cell,Memory B,B cell_RNA
390_RNA,Progenitor cells,GMP,Progenitor cells_RNA
391_RNA,B cell,Memory B,B cell_RNA
392_RNA,B cell,Plasmablast,B cell_RNA
393_RNA,T cell,CD8 Naive,T cell_RNA
394_RNA,Progenitor cells,GMP,Progenitor cells_RNA
395_RNA,T cell,CD8 Memory_2,T cell_RNA
396_RNA,T cell,CD8 Memory_1,T cell_RNA
397_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
398_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
399_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
400_RNA,T cell,CD8 Naive,T cell_RNA
401_RNA,B cell,Memory B,B cell_RNA
402_RNA,NK,NK,NK_RNA
403_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
404_RNA,B cell,Naive B,B cell_RNA
405_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
406_RNA,T cell,CD4 Naive,T cell_RNA
407_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
408_RNA,T cell,CD8 Naive,T cell_RNA
409_RNA,T cell,MAIT,T cell_RNA
410_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
411_RNA,T cell,CD4 Memory,T cell_RNA
412_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
413_RNA,T cell,CD8 Naive,T cell_RNA
414_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
415_RNA,T cell,CD8 Naive,T cell_RNA
416_RNA,B cell,Naive B,B cell_RNA
417_RNA,T cell,CD8 Memory_1,T cell_RNA
418_RNA,T cell,CD8 Memory_2,T cell_RNA
419_RNA,T cell,CD4 Memory,T cell_RNA
420_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
421_RNA,T cell,CD8 Naive,T cell_RNA
422_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
423_RNA,T cell,CD4 Naive,T cell_RNA
424_RNA,B cell,Memory B,B cell_RNA
425_RNA,T cell,CD8 Naive,T cell_RNA
426_RNA,T cell,CD4 Memory,T cell_RNA
427_RNA,Mono/DC,cDC2,Mono/DC_RNA
428_RNA,T cell,CD8 Naive,T cell_RNA
429_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
430_RNA,Progenitor cells,HSC,Progenitor cells_RNA
431_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
432_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
433_RNA,T cell,CD4 Naive,T cell_RNA
434_RNA,Progenitor cells,Prog_DC,Progenitor cells_RNA
435_RNA,T cell,CD4 Naive,T cell_RNA
436_RNA,B cell,Memory B,B cell_RNA
437_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
438_RNA,T cell,CD8 Naive,T cell_RNA
439_RNA,T cell,CD4 Naive,T cell_RNA
440_RNA,B cell,Memory B,B cell_RNA
441_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
442_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
443_RNA,T cell,CD8 Naive,T cell_RNA
444_RNA,Progenitor cells,Prog_B 2,Progenitor cells_RNA
445_RNA,T cell,CD4 Naive,T cell_RNA
446_RNA,T cell,CD8 Naive,T cell_RNA
447_RNA,B cell,Naive B,B cell_RNA
448_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
449_RNA,T cell,CD8 Naive,T cell_RNA
450_RNA,T cell,CD8 Naive,T cell_RNA
451_RNA,NK,NK,NK_RNA
452_RNA,B cell,Plasmablast,B cell_RNA
453_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
454_RNA,T cell,CD8 Naive,T cell_RNA
455_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
456_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
457_RNA,T cell,CD8 Memory_1,T cell_RNA
458_RNA,T cell,CD4 Memory,T cell_RNA
459_RNA,B cell,Plasmablast,B cell_RNA
460_RNA,B cell,Memory B,B cell_RNA
461_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
462_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
463_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
464_RNA,T cell,Treg,T cell_RNA
465_RNA,T cell,CD4 Naive,T cell_RNA
466_RNA,Mono/DC,cDC2,Mono/DC_RNA
467_RNA,T cell,CD4 Memory,T cell_RNA
468_RNA,Progenitor cells,GMP,Progenitor cells_RNA
469_RNA,T cell,CD4 Memory,T cell_RNA
470_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
471_RNA,T cell,MAIT,T cell_RNA
472_RNA,T cell,CD8 Naive,T cell_RNA
473_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
474_RNA,T cell,CD4 Memory,T cell_RNA
475_RNA,T cell,CD4 Memory,T cell_RNA
476_RNA,T cell,CD4 Naive,T cell_RNA
477_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
478_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
479_RNA,T cell,CD8 Naive,T cell_RNA
480_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
481_RNA,T cell,CD8 Memory_2,T cell_RNA
482_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
483_RNA,T cell,CD4 Naive,T cell_RNA
484_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
485_RNA,T cell,gdT,T cell_RNA
486_RNA,Progenitor cells,GMP,Progenitor cells_RNA
487_RNA,B cell,Naive B,B cell_RNA
488_RNA,T cell,MAIT,T cell_RNA
489_RNA,B cell,Memory B,B cell_RNA
490_RNA,T cell,Treg,T cell_RNA
491_RNA,T cell,CD8 Memory_2,T cell_RNA
492_RNA,T cell,CD8 Naive,T cell_RNA
493_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
494_RNA,T cell,CD8 Naive,T cell_RNA
495_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
496_RNA,B cell,Naive B,B cell_RNA
497_RNA,T cell,CD4 Memory,T cell_RNA
498_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
499_RNA,T cell,CD4 Memory,T cell_RNA
500_RNA,NK,NK,NK_RNA
501_RNA,T cell,CD8 Naive,T cell_RNA
502_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
503_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
504_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
505_RNA,T cell,CD8 Naive,T cell_RNA
506_RNA,T cell,CD8 Naive,T cell_RNA
507_RNA,T cell,CD8 Naive,T cell_RNA
508_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
