Index,Flag,L1,L2,L1_02
88_ADT,1,NK,NK,NK_ADT
93_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
94_ADT,1,T cell,CD4 Naive,T cell_ADT
97_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
99_ADT,1,B cell,Naive B,B cell_ADT
100_ADT,1,NK,NK,NK_ADT
101_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
104_ADT,1,T cell,CD4 Memory,T cell_ADT
106_ADT,1,T cell,CD4 Memory,T cell_ADT
107_ADT,1,T cell,CD4 Naive,T cell_ADT
108_ADT,1,B cell,Memory B,B cell_ADT
111_ADT,1,T cell,CD4 Naive,T cell_ADT
112_ADT,1,T cell,CD4 Memory,T cell_ADT
116_ADT,1,T cell,CD4 Naive,T cell_ADT
121_ADT,1,T cell,CD4 Memory,T cell_ADT
123_ADT,1,T cell,CD8 Naive,T cell_ADT
124_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
125_ADT,1,T cell,CD8 Naive,T cell_ADT
127_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
128_ADT,1,T cell,CD4 Naive,T cell_ADT
129_ADT,1,T cell,CD4 Memory,T cell_ADT
131_ADT,1,T cell,CD8 Naive,T cell_ADT
134_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
136_ADT,1,T cell,CD4 Naive,T cell_ADT
137_ADT,1,NK,NK,NK_ADT
139_ADT,1,T cell,CD8 Effector_1,T cell_ADT
145_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
147_ADT,1,T cell,MAIT,T cell_ADT
148_ADT,1,T cell,CD8 Naive,T cell_ADT
149_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
151_ADT,1,T cell,CD4 Memory,T cell_ADT
155_ADT,1,T cell,CD4 Memory,T cell_ADT
156_ADT,1,B cell,Naive B,B cell_ADT
159_ADT,1,B cell,Naive B,B cell_ADT
161_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
162_ADT,1,B cell,Naive B,B cell_ADT
164_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
166_ADT,1,Progenitor cells,Prog_B 2,Progenitor cells_ADT
168_ADT,1,Progenitor cells,Prog_Mk,Progenitor cells_ADT
169_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
173_ADT,1,T cell,CD8 Effector_1,T cell_ADT
174_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
175_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
177_ADT,1,NK,NK,NK_ADT
179_ADT,1,T cell,CD8 Naive,T cell_ADT
180_ADT,1,NK,NK,NK_ADT
181_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
182_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
189_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
190_ADT,1,T cell,Treg,T cell_ADT
191_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
192_ADT,1,T cell,CD8 Naive,T cell_ADT
194_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
195_ADT,1,T cell,gdT,T cell_ADT
203_ADT,1,T cell,CD4 Memory,T cell_ADT
204_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
205_ADT,1,NK,NK,NK_ADT
206_ADT,1,T cell,CD8 Naive,T cell_ADT
207_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
209_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
210_ADT,1,T cell,CD8 Naive,T cell_ADT
213_ADT,1,B cell,Naive B,B cell_ADT
214_ADT,1,T cell,CD8 Naive,T cell_ADT
217_ADT,1,NK,NK,NK_ADT
219_ADT,1,T cell,CD8 Naive,T cell_ADT
220_ADT,1,B cell,Naive B,B cell_ADT
224_ADT,1,T cell,CD8 Memory_2,T cell_ADT
225_ADT,1,T cell,CD8 Naive,T cell_ADT
227_ADT,1,T cell,CD4 Memory,T cell_ADT
232_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
238_ADT,1,Progenitor cells,Prog_DC,Progenitor cells_ADT
243_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
245_ADT,1,T cell,CD4 Naive,T cell_ADT
252_ADT,1,B cell,Naive B,B cell_ADT
256_ADT,1,Progenitor cells,Prog_B 1,Progenitor cells_ADT
257_ADT,1,B cell,Memory B,B cell_ADT
258_ADT,1,T cell,CD4 Memory,T cell_ADT
261_ADT,1,T cell,CD4 Memory,T cell_ADT
262_ADT,1,T cell,CD4 Naive,T cell_ADT
264_ADT,1,B cell,Naive B,B cell_ADT
267_ADT,1,T cell,CD4 Memory,T cell_ADT
268_ADT,1,T cell,CD4 Memory,T cell_ADT
270_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
271_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
272_ADT,1,T cell,CD8 Naive,T cell_ADT
274_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
275_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
277_ADT,1,B cell,Naive B,B cell_ADT
281_ADT,1,T cell,MAIT,T cell_ADT
283_ADT,1,T cell,CD4 Naive,T cell_ADT
284_ADT,1,B cell,Memory B,B cell_ADT
285_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
286_ADT,1,Progenitor cells,Prog_B 1,Progenitor cells_ADT
288_ADT,1,T cell,CD4 Memory,T cell_ADT
293_ADT,1,T cell,CD4 Naive,T cell_ADT
294_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
295_ADT,1,T cell,CD4 Naive,T cell_ADT
296_ADT,1,NK,NK,NK_ADT
298_ADT,1,T cell,CD4 Memory,T cell_ADT
299_ADT,1,Mono/DC,pDC,Mono/DC_ADT
303_ADT,1,B cell,Memory B,B cell_ADT
305_ADT,1,B cell,Naive B,B cell_ADT
306_ADT,1,B cell,Naive B,B cell_ADT
307_ADT,1,NK,NK,NK_ADT
309_ADT,1,Progenitor cells,Prog_B 1,Progenitor cells_ADT
313_ADT,1,T cell,CD4 Naive,T cell_ADT
314_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
316_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
319_ADT,1,B cell,Naive B,B cell_ADT
320_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
323_ADT,1,T cell,CD4 Naive,T cell_ADT
326_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
327_ADT,1,T cell,CD8 Naive,T cell_ADT
328_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
329_ADT,1,T cell,CD4 Naive,T cell_ADT
334_ADT,1,T cell,CD8 Naive,T cell_ADT
336_ADT,1,T cell,CD4 Memory,T cell_ADT
337_ADT,1,NK,NK,NK_ADT
339_ADT,1,T cell,MAIT,T cell_ADT
340_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
341_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
342_ADT,1,T cell,CD8 Memory_2,T cell_ADT
347_ADT,1,NK,NK,NK_ADT
348_ADT,1,T cell,MAIT,T cell_ADT
350_ADT,1,B cell,Naive B,B cell_ADT
351_ADT,1,T cell,CD8 Naive,T cell_ADT
352_ADT,1,B cell,Naive B,B cell_ADT
354_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
357_ADT,1,NK,NK,NK_ADT
359_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
363_ADT,1,T cell,CD4 Naive,T cell_ADT
364_ADT,1,T cell,MAIT,T cell_ADT
365_ADT,1,NK,NK,NK_ADT
366_ADT,1,T cell,CD4 Naive,T cell_ADT
367_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
370_ADT,1,T cell,CD4 Naive,T cell_ADT
372_ADT,1,T cell,CD4 Naive,T cell_ADT
373_ADT,1,T cell,CD8 Memory_2,T cell_ADT
375_ADT,1,B cell,Memory B,B cell_ADT
378_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
381_ADT,1,T cell,CD4 Naive,T cell_ADT
382_ADT,1,T cell,CD8 Naive,T cell_ADT
387_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
388_ADT,1,Progenitor cells,Prog_Mk,Progenitor cells_ADT
392_ADT,1,B cell,Plasmablast,B cell_ADT
393_ADT,1,T cell,CD8 Naive,T cell_ADT
395_ADT,1,T cell,CD8 Memory_2,T cell_ADT
397_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
398_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
399_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
402_ADT,1,NK,NK,NK_ADT
404_ADT,1,B cell,Naive B,B cell_ADT
405_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
407_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
408_ADT,1,T cell,CD8 Naive,T cell_ADT
410_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
414_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
415_ADT,1,T cell,CD8 Naive,T cell_ADT
417_ADT,1,T cell,CD8 Memory_1,T cell_ADT
420_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
421_ADT,1,T cell,CD8 Naive,T cell_ADT
422_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
424_ADT,1,B cell,Memory B,B cell_ADT
425_ADT,1,T cell,CD8 Naive,T cell_ADT
426_ADT,1,T cell,CD4 Memory,T cell_ADT
430_ADT,1,Progenitor cells,HSC,Progenitor cells_ADT
431_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
432_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
434_ADT,1,Progenitor cells,Prog_DC,Progenitor cells_ADT
436_ADT,1,B cell,Memory B,B cell_ADT
437_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
440_ADT,1,B cell,Memory B,B cell_ADT
446_ADT,1,T cell,CD8 Naive,T cell_ADT
447_ADT,1,B cell,Naive B,B cell_ADT
448_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
451_ADT,1,NK,NK,NK_ADT
453_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
454_ADT,1,T cell,CD8 Naive,T cell_ADT
455_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
456_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
459_ADT,1,B cell,Plasmablast,B cell_ADT
460_ADT,1,B cell,Memory B,B cell_ADT
461_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
462_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
463_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
465_ADT,1,T cell,CD4 Naive,T cell_ADT
471_ADT,1,T cell,MAIT,T cell_ADT
472_ADT,1,T cell,CD8 Naive,T cell_ADT
475_ADT,1,T cell,CD4 Memory,T cell_ADT
476_ADT,1,T cell,CD4 Naive,T cell_ADT
477_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
479_ADT,1,T cell,CD8 Naive,T cell_ADT
481_ADT,1,T cell,CD8 Memory_2,T cell_ADT
486_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
491_ADT,1,T cell,CD8 Memory_2,T cell_ADT
492_ADT,1,T cell,CD8 Naive,T cell_ADT
494_ADT,1,T cell,CD8 Naive,T cell_ADT
495_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
496_ADT,1,B cell,Naive B,B cell_ADT
497_ADT,1,T cell,CD4 Memory,T cell_ADT
498_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
499_ADT,1,T cell,CD4 Memory,T cell_ADT
500_ADT,1,NK,NK,NK_ADT
505_ADT,1,T cell,CD8 Naive,T cell_ADT
509_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
510_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
511_ADT,1,T cell,CD8 Effector_1,T cell_ADT
512_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
515_ADT,1,NK,NK,NK_ADT
517_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
520_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
522_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
523_ADT,1,T cell,CD4 Memory,T cell_ADT
526_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
527_ADT,1,NK,NK,NK_ADT
531_ADT,1,Progenitor cells,Prog_Mk,Progenitor cells_ADT
532_ADT,1,T cell,CD8 Naive,T cell_ADT
534_ADT,1,B cell,Memory B,B cell_ADT
535_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
536_ADT,1,T cell,CD4 Naive,T cell_ADT
538_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
540_ADT,1,T cell,CD4 Memory,T cell_ADT
542_ADT,1,T cell,CD8 Memory_1,T cell_ADT
544_ADT,1,T cell,CD8 Naive,T cell_ADT
545_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
549_ADT,1,T cell,CD4 Naive,T cell_ADT
551_ADT,1,Mono/DC,CD16 Mono,Mono/DC_ADT
554_ADT,1,T cell,CD4 Naive,T cell_ADT
555_ADT,1,T cell,CD4 Naive,T cell_ADT
557_ADT,1,B cell,Memory B,B cell_ADT
558_ADT,1,T cell,CD8 Naive,T cell_ADT
561_ADT,1,T cell,CD4 Memory,T cell_ADT
566_ADT,1,T cell,CD4 Naive,T cell_ADT
569_ADT,1,B cell,Memory B,B cell_ADT
571_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
573_ADT,1,T cell,CD8 Naive,T cell_ADT
574_ADT,1,B cell,Memory B,B cell_ADT
576_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
577_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
583_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
585_ADT,1,T cell,CD8 Naive,T cell_ADT
587_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
589_ADT,1,B cell,Naive B,B cell_ADT
590_ADT,1,B cell,Naive B,B cell_ADT
594_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
595_ADT,1,T cell,CD8 Naive,T cell_ADT
596_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
597_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
603_ADT,1,T cell,CD4 Memory,T cell_ADT
604_ADT,1,T cell,CD4 Naive,T cell_ADT
606_ADT,1,T cell,CD4 Memory,T cell_ADT
609_ADT,1,T cell,CD8 Memory_2,T cell_ADT
613_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
614_ADT,1,T cell,CD8 Memory_2,T cell_ADT
618_ADT,1,T cell,CD8 Memory_2,T cell_ADT
620_ADT,1,T cell,CD8 Naive,T cell_ADT
621_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
622_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
626_ADT,1,Progenitor cells,HSC,Progenitor cells_ADT
627_ADT,1,Mono/DC,CD16 Mono,Mono/DC_ADT
628_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
629_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
630_ADT,1,T cell,CD4 Naive,T cell_ADT
634_ADT,1,T cell,CD8 Memory_1,T cell_ADT
636_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
639_ADT,1,T cell,CD8 Naive,T cell_ADT
640_ADT,1,T cell,CD4 Naive,T cell_ADT
643_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
644_ADT,1,Progenitor cells,Prog_Mk,Progenitor cells_ADT
646_ADT,1,T cell,CD4 Naive,T cell_ADT
649_ADT,1,T cell,CD8 Effector_2,T cell_ADT
650_ADT,1,Progenitor cells,Prog_DC,Progenitor cells_ADT
651_ADT,1,T cell,CD8 Naive,T cell_ADT
655_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
656_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
659_ADT,1,T cell,CD4 Naive,T cell_ADT
661_ADT,1,T cell,CD4 Naive,T cell_ADT
664_ADT,1,T cell,CD8 Naive,T cell_ADT
665_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
666_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
667_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
669_ADT,1,T cell,CD4 Memory,T cell_ADT
670_ADT,1,T cell,CD4 Memory,T cell_ADT
672_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
677_ADT,1,B cell,Naive B,B cell_ADT
679_ADT,1,T cell,CD4 Memory,T cell_ADT
681_ADT,1,T cell,CD8 Effector_1,T cell_ADT
683_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
684_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
685_ADT,1,B cell,Memory B,B cell_ADT
686_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
689_ADT,1,NK,NK,NK_ADT
691_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
692_ADT,1,T cell,CD8 Effector_2,T cell_ADT
693_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
695_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
696_ADT,1,B cell,Naive B,B cell_ADT
697_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
698_ADT,1,B cell,Naive B,B cell_ADT
699_ADT,1,T cell,CD8 Naive,T cell_ADT
701_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
706_ADT,1,T cell,CD4 Memory,T cell_ADT
707_ADT,1,T cell,CD4 Naive,T cell_ADT
708_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
709_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
710_ADT,1,B cell,Naive B,B cell_ADT
711_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
714_ADT,1,T cell,CD8 Memory_1,T cell_ADT
715_ADT,1,T cell,CD8 Naive,T cell_ADT
718_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
721_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
722_ADT,1,T cell,CD8 Naive,T cell_ADT
726_ADT,1,T cell,CD4 Naive,T cell_ADT
727_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
730_ADT,1,T cell,gdT,T cell_ADT
735_ADT,1,T cell,CD4 Memory,T cell_ADT
736_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
737_ADT,1,T cell,CD8 Naive,T cell_ADT
739_ADT,1,T cell,CD4 Naive,T cell_ADT
740_ADT,1,B cell,Plasmablast,B cell_ADT
744_ADT,1,T cell,CD4 Naive,T cell_ADT
745_ADT,1,T cell,CD4 Naive,T cell_ADT
746_ADT,1,T cell,CD4 Naive,T cell_ADT
748_ADT,1,T cell,CD4 Memory,T cell_ADT
749_ADT,1,Progenitor cells,Prog_B 2,Progenitor cells_ADT
750_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
752_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
754_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
755_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
756_ADT,1,T cell,CD4 Naive,T cell_ADT
757_ADT,1,T cell,CD8 Memory_1,T cell_ADT
759_ADT,1,T cell,CD4 Memory,T cell_ADT
760_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
761_ADT,1,T cell,CD8 Naive,T cell_ADT
763_ADT,1,T cell,CD4 Naive,T cell_ADT
765_ADT,1,T cell,CD4 Naive,T cell_ADT
766_ADT,1,T cell,Treg,T cell_ADT
767_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
768_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
770_ADT,1,T cell,CD8 Effector_2,T cell_ADT
772_ADT,1,T cell,CD8 Naive,T cell_ADT
773_ADT,1,T cell,CD4 Naive,T cell_ADT
775_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
776_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
777_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
778_ADT,1,T cell,CD8 Naive,T cell_ADT
781_ADT,1,T cell,CD4 Naive,T cell_ADT
782_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
784_ADT,1,T cell,CD4 Naive,T cell_ADT
785_ADT,1,T cell,CD8 Naive,T cell_ADT
787_ADT,1,T cell,CD8 Naive,T cell_ADT
791_ADT,1,T cell,CD8 Naive,T cell_ADT
792_ADT,1,Mono/DC,CD16 Mono,Mono/DC_ADT
793_ADT,1,T cell,CD4 Naive,T cell_ADT
796_ADT,1,NK,NK,NK_ADT
798_ADT,1,T cell,CD4 Naive,T cell_ADT
801_ADT,1,T cell,CD4 Naive,T cell_ADT
804_ADT,1,T cell,MAIT,T cell_ADT
805_ADT,1,B cell,Naive B,B cell_ADT
806_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
807_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
808_ADT,1,T cell,CD4 Memory,T cell_ADT
810_ADT,1,B cell,Naive B,B cell_ADT
811_ADT,1,NK,NK,NK_ADT
812_ADT,1,T cell,CD4 Naive,T cell_ADT
813_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
817_ADT,1,T cell,CD4 Memory,T cell_ADT
818_ADT,1,T cell,CD4 Naive,T cell_ADT
820_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
821_ADT,1,T cell,CD8 Naive,T cell_ADT
824_ADT,1,B cell,Naive B,B cell_ADT
826_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
827_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
829_ADT,1,T cell,CD4 Naive,T cell_ADT
830_ADT,1,T cell,CD8 Naive,T cell_ADT
834_ADT,1,T cell,CD4 Naive,T cell_ADT
836_ADT,1,T cell,CD4 Memory,T cell_ADT
837_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
839_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
843_ADT,1,T cell,CD8 Naive,T cell_ADT
845_ADT,1,T cell,CD4 Memory,T cell_ADT
847_ADT,1,T cell,CD4 Memory,T cell_ADT
850_ADT,1,T cell,CD8 Effector_1,T cell_ADT
853_ADT,1,T cell,CD8 Effector_1,T cell_ADT
854_ADT,1,T cell,CD4 Memory,T cell_ADT
858_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
859_ADT,1,T cell,CD4 Naive,T cell_ADT
860_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
862_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
863_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
865_ADT,1,Progenitor cells,HSC,Progenitor cells_ADT
868_ADT,1,NK,NK,NK_ADT
869_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
870_ADT,1,T cell,MAIT,T cell_ADT
873_ADT,1,NK,NK,NK_ADT
877_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
879_ADT,1,B cell,Naive B,B cell_ADT
882_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
887_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
889_ADT,1,B cell,Naive B,B cell_ADT
890_ADT,1,B cell,Memory B,B cell_ADT
893_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
895_ADT,1,Mono/DC,pDC,Mono/DC_ADT
896_ADT,1,T cell,CD4 Memory,T cell_ADT
897_ADT,1,T cell,MAIT,T cell_ADT
904_ADT,1,T cell,CD8 Naive,T cell_ADT
905_ADT,1,B cell,Naive B,B cell_ADT
906_ADT,1,T cell,CD4 Naive,T cell_ADT
907_ADT,1,T cell,CD8 Naive,T cell_ADT
909_ADT,1,B cell,Naive B,B cell_ADT
912_ADT,1,B cell,Memory B,B cell_ADT
913_ADT,1,T cell,CD4 Memory,T cell_ADT
915_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
917_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
918_ADT,1,T cell,CD8 Naive,T cell_ADT
919_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
921_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
922_ADT,1,T cell,CD8 Naive,T cell_ADT
923_ADT,1,T cell,CD8 Naive,T cell_ADT
927_ADT,1,T cell,CD4 Memory,T cell_ADT
928_ADT,1,T cell,CD4 Memory,T cell_ADT
933_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
936_ADT,1,T cell,CD8 Naive,T cell_ADT
937_ADT,1,T cell,CD8 Naive,T cell_ADT
938_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
939_ADT,1,B cell,Memory B,B cell_ADT
942_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
