Index,cell_type_00,cell_type_01,cell_type,cell_type_02
36_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
37_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
38_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
39_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
40_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
41_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
42_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
43_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
44_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
45_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
46_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
47_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
48_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
49_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
50_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
51_RNA,NK,NK_RNA,NK,NK_RNA
52_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
53_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
54_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
55_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
56_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
57_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
58_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
59_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
60_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
61_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
62_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
63_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
64_RNA,Plasma,Plasma_RNA,B Cells,B Cells_RNA
65_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
66_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
67_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
68_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
69_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
70_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
71_RNA,MAIT,MAIT_RNA,MAIT,MAIT_RNA
72_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
73_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
74_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
75_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
76_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
77_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
78_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
79_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
80_RNA,NK,NK_RNA,NK,NK_RNA
81_RNA,NK,NK_RNA,NK,NK_RNA
82_RNA,Treg,Treg_RNA,CD4,CD4_RNA
83_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
84_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
85_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
86_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
87_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
88_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
89_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
90_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
91_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
92_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
93_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
94_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
95_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
96_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
97_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
98_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
99_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
100_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
101_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
102_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
103_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
104_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
105_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
106_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
107_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
108_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
109_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
110_RNA,gdT,gdT_RNA,CD8,CD8_RNA
111_RNA,gdT,gdT_RNA,CD8,CD8_RNA
112_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
113_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
114_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
115_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
116_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
117_RNA,NK,NK_RNA,NK,NK_RNA
118_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
119_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
120_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
121_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
122_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
123_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
124_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
125_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
126_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
127_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
128_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
129_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
130_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
131_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
132_RNA,pDC,pDC_RNA,Dendritic Cells,Dendritic Cells_RNA
133_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
134_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
135_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
136_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
137_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
138_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
139_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
140_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
141_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
142_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
143_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
144_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
145_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
146_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
147_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
148_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
149_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
150_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
151_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
152_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
153_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
154_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
155_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
156_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
157_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
158_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
159_RNA,NK,NK_RNA,NK,NK_RNA
160_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
161_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
162_RNA,pDC,pDC_RNA,Dendritic Cells,Dendritic Cells_RNA
163_RNA,gdT,gdT_RNA,CD8,CD8_RNA
164_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
165_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
166_RNA,MAIT,MAIT_RNA,MAIT,MAIT_RNA
167_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
168_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
169_RNA,gdT,gdT_RNA,CD8,CD8_RNA
170_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
171_RNA,Treg,Treg_RNA,CD4,CD4_RNA
172_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
173_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
174_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
175_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
176_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
177_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
178_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
179_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
180_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
181_RNA,NK,NK_RNA,NK,NK_RNA
182_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
183_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
184_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
185_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
186_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
187_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
188_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
189_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
190_RNA,gdT,gdT_RNA,CD8,CD8_RNA
191_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
192_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
193_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
194_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
195_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
196_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
197_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
198_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
199_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
200_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
201_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
202_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
203_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
204_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
205_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
206_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
207_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
208_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
209_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
210_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
211_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
212_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
213_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
214_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
215_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
216_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
217_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
218_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
219_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
220_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
221_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
222_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
223_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
224_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
225_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
226_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
227_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
228_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
229_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
230_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
231_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
232_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
233_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
234_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
235_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
236_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
237_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
238_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
239_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
240_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
241_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
242_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
243_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
244_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
245_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
246_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
247_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
248_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
249_RNA,NK,NK_RNA,NK,NK_RNA
250_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
251_RNA,gdT,gdT_RNA,CD8,CD8_RNA
252_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
253_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
254_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
255_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
256_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
257_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
258_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
259_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
260_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
261_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
262_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
263_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
264_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
265_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
266_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
267_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
268_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
269_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
270_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
271_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
272_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
273_RNA,gdT,gdT_RNA,CD8,CD8_RNA
274_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
275_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
276_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
277_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
278_RNA,gdT,gdT_RNA,CD8,CD8_RNA
279_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
280_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
281_RNA,gdT,gdT_RNA,CD8,CD8_RNA
282_RNA,NK,NK_RNA,NK,NK_RNA
283_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
284_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
285_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
286_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
287_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
288_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
289_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
290_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
291_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
292_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
293_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
294_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
295_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
296_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
297_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
298_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
299_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
300_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
301_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
302_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
303_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
304_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
305_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
306_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
307_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
308_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
309_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
310_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
311_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
312_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
313_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
314_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
315_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
316_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
317_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
318_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
319_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
320_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
321_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
322_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
323_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
324_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
325_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
326_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
327_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
328_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
329_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
330_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
331_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
332_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
333_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
334_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
335_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
336_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
337_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
338_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
339_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
340_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
341_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
342_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
343_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
344_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
345_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
346_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
347_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
348_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
349_RNA,MAIT,MAIT_RNA,MAIT,MAIT_RNA
350_RNA,Treg,Treg_RNA,CD4,CD4_RNA
351_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
352_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
353_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
354_RNA,Treg,Treg_RNA,CD4,CD4_RNA
355_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
356_RNA,pDC,pDC_RNA,Dendritic Cells,Dendritic Cells_RNA
357_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
358_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
