Index,cell_type_00,cell_type_01,cell_type,cell_type_02
36_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
37_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
38_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
39_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
40_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
41_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
42_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
43_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
44_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
45_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
46_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
47_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
48_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
49_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
50_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
51_RNA,NK,NK_RNA,NK,NK_RNA
52_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
53_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
54_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
55_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
56_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
57_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
58_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
59_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
60_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
61_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
62_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
63_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
64_RNA,Plasma,Plasma_RNA,B Cells,B Cells_RNA
65_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
66_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
67_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
68_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
69_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
70_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
71_RNA,MAIT,MAIT_RNA,MAIT,MAIT_RNA
72_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
73_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
74_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
75_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
76_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
77_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
78_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
79_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
80_RNA,NK,NK_RNA,NK,NK_RNA
81_RNA,NK,NK_RNA,NK,NK_RNA
82_RNA,Treg,Treg_RNA,CD4,CD4_RNA
83_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
84_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
85_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
86_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
87_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
88_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
89_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
90_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
91_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
92_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
93_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
94_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
95_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
96_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
97_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
98_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
99_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
100_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
