Index,cell_type,cell_type_02
633,Monocytes,Monocytes_target
634,CD4,CD4_target
635,CD8,CD8_target
636,CD4,CD4_target
637,B Cells,B Cells_target
638,Monocytes,Monocytes_target
639,B Cells,B Cells_target
640,CD4,CD4_target
641,Monocytes,Monocytes_target
642,Monocytes,Monocytes_target
643,CD4,CD4_target
644,CD4,CD4_target
645,Monocytes,Monocytes_target
646,Monocytes,Monocytes_target
647,Monocytes,Monocytes_target
648,Monocytes,Monocytes_target
649,Monocytes,Monocytes_target
650,CD8,CD8_target
651,CD8,CD8_target
652,B Cells,B Cells_target
653,CD4,CD4_target
654,Monocytes,Monocytes_target
655,Monocytes,Monocytes_target
656,Monocytes,Monocytes_target
657,CD4,CD4_target
658,CD4,CD4_target
659,Monocytes,Monocytes_target
660,CD8,CD8_target
661,CD8,CD8_target
662,B Cells,B Cells_target
663,Monocytes,Monocytes_target
664,CD8,CD8_target
665,NK,NK_target
666,CD8,CD8_target
667,B Cells,B Cells_target
668,CD4,CD4_target
669,Monocytes,Monocytes_target
670,CD8,CD8_target
671,CD4,CD4_target
672,Monocytes,Monocytes_target
673,CD8,CD8_target
674,CD8,CD8_target
675,Monocytes,Monocytes_target
676,Monocytes,Monocytes_target
677,CD4,CD4_target
678,B Cells,B Cells_target
679,Monocytes,Monocytes_target
680,B Cells,B Cells_target
681,Monocytes,Monocytes_target
682,CD4,CD4_target
683,CD4,CD4_target
684,CD4,CD4_target
685,CD8,CD8_target
686,Dendritic Cells,Dendritic Cells_target
687,Monocytes,Monocytes_target
688,CD4,CD4_target
689,B Cells,B Cells_target
690,CD8,CD8_target
691,CD4,CD4_target
692,Monocytes,Monocytes_target
693,CD8,CD8_target
694,B Cells,B Cells_target
695,Monocytes,Monocytes_target
696,CD8,CD8_target
697,CD8,CD8_target
698,CD4,CD4_target
699,CD8,CD8_target
700,CD4,CD4_target
701,CD4,CD4_target
702,Monocytes,Monocytes_target
703,CD4,CD4_target
704,CD8,CD8_target
705,CD4,CD4_target
706,Monocytes,Monocytes_target
707,Monocytes,Monocytes_target
708,Monocytes,Monocytes_target
709,CD8,CD8_target
710,CD8,CD8_target
711,NK,NK_target
712,Monocytes,Monocytes_target
713,Monocytes,Monocytes_target
714,Monocytes,Monocytes_target
715,CD4,CD4_target
716,Monocytes,Monocytes_target
717,CD4,CD4_target
718,CD8,CD8_target
719,Monocytes,Monocytes_target
720,CD8,CD8_target
721,Monocytes,Monocytes_target
722,CD8,CD8_target
723,Monocytes,Monocytes_target
724,CD4,CD4_target
725,Monocytes,Monocytes_target
726,CD8,CD8_target
727,CD8,CD8_target
728,CD4,CD4_target
729,B Cells,B Cells_target
730,B Cells,B Cells_target
731,Monocytes,Monocytes_target
732,Monocytes,Monocytes_target
733,NK,NK_target
734,CD8,CD8_target
735,CD8,CD8_target
736,Monocytes,Monocytes_target
737,Monocytes,Monocytes_target
738,B Cells,B Cells_target
739,Monocytes,Monocytes_target
740,CD8,CD8_target
741,CD4,CD4_target
742,CD4,CD4_target
743,Monocytes,Monocytes_target
744,Monocytes,Monocytes_target
745,B Cells,B Cells_target
746,CD8,CD8_target
747,Monocytes,Monocytes_target
748,B Cells,B Cells_target
749,CD4,CD4_target
750,Monocytes,Monocytes_target
751,Monocytes,Monocytes_target
752,Monocytes,Monocytes_target
753,Monocytes,Monocytes_target
754,Monocytes,Monocytes_target
755,CD4,CD4_target
756,CD4,CD4_target
757,Monocytes,Monocytes_target
758,CD8,CD8_target
759,Monocytes,Monocytes_target
760,CD8,CD8_target
761,Monocytes,Monocytes_target
762,Monocytes,Monocytes_target
763,Monocytes,Monocytes_target
764,Monocytes,Monocytes_target
765,Monocytes,Monocytes_target
766,CD8,CD8_target
767,Dendritic Cells,Dendritic Cells_target
768,B Cells,B Cells_target
769,CD4,CD4_target
770,CD4,CD4_target
771,NK,NK_target
772,NK,NK_target
773,Monocytes,Monocytes_target
774,Monocytes,Monocytes_target
775,B Cells,B Cells_target
776,CD8,CD8_target
777,MAIT,MAIT_target
778,CD4,CD4_target
779,CD4,CD4_target
780,Dendritic Cells,Dendritic Cells_target
781,CD4,CD4_target
782,CD4,CD4_target
783,CD4,CD4_target
784,CD4,CD4_target
785,CD4,CD4_target
786,Monocytes,Monocytes_target
787,CD8,CD8_target
788,Monocytes,Monocytes_target
789,CD8,CD8_target
790,Monocytes,Monocytes_target
791,CD4,CD4_target
792,CD8,CD8_target
793,CD4,CD4_target
794,Monocytes,Monocytes_target
795,Monocytes,Monocytes_target
796,Monocytes,Monocytes_target
797,CD4,CD4_target
798,Monocytes,Monocytes_target
799,CD4,CD4_target
800,CD8,CD8_target
801,Monocytes,Monocytes_target
802,CD8,CD8_target
803,Monocytes,Monocytes_target
804,Monocytes,Monocytes_target
805,Monocytes,Monocytes_target
806,B Cells,B Cells_target
807,Monocytes,Monocytes_target
808,Monocytes,Monocytes_target
809,CD4,CD4_target
810,CD8,CD8_target
811,Monocytes,Monocytes_target
812,CD4,CD4_target
813,Monocytes,Monocytes_target
814,B Cells,B Cells_target
815,CD4,CD4_target
816,Monocytes,Monocytes_target
817,CD8,CD8_target
818,CD8,CD8_target
819,CD8,CD8_target
820,Dendritic Cells,Dendritic Cells_target
821,Monocytes,Monocytes_target
822,CD4,CD4_target
823,CD4,CD4_target
824,CD8,CD8_target
825,NK,NK_target
826,CD4,CD4_target
827,CD8,CD8_target
828,Monocytes,Monocytes_target
829,Monocytes,Monocytes_target
830,CD8,CD8_target
831,CD4,CD4_target
832,CD4,CD4_target
833,CD8,CD8_target
834,Monocytes,Monocytes_target
835,B Cells,B Cells_target
836,CD8,CD8_target
837,B Cells,B Cells_target
838,NK,NK_target
839,Monocytes,Monocytes_target
840,CD4,CD4_target
841,Monocytes,Monocytes_target
842,CD4,CD4_target
843,CD4,CD4_target
844,CD8,CD8_target
845,Monocytes,Monocytes_target
846,CD4,CD4_target
847,CD8,CD8_target
848,CD4,CD4_target
849,Monocytes,Monocytes_target
850,CD4,CD4_target
851,Monocytes,Monocytes_target
852,CD4,CD4_target
853,B Cells,B Cells_target
854,Monocytes,Monocytes_target
855,Monocytes,Monocytes_target
856,CD8,CD8_target
857,CD8,CD8_target
858,CD8,CD8_target
859,CD4,CD4_target
860,Monocytes,Monocytes_target
861,CD4,CD4_target
862,CD4,CD4_target
863,B Cells,B Cells_target
864,Monocytes,Monocytes_target
865,Monocytes,Monocytes_target
866,Monocytes,Monocytes_target
867,CD4,CD4_target
868,Monocytes,Monocytes_target
869,B Cells,B Cells_target
870,Monocytes,Monocytes_target
871,Monocytes,Monocytes_target
872,Monocytes,Monocytes_target
873,CD8,CD8_target
874,Monocytes,Monocytes_target
875,Monocytes,Monocytes_target
876,CD4,CD4_target
877,CD8,CD8_target
878,CD8,CD8_target
879,Monocytes,Monocytes_target
880,Monocytes,Monocytes_target
881,CD8,CD8_target
882,Monocytes,Monocytes_target
883,CD8,CD8_target
884,Monocytes,Monocytes_target
885,CD4,CD4_target
886,CD4,CD4_target
887,NK,NK_target
888,Monocytes,Monocytes_target
889,Monocytes,Monocytes_target
890,CD4,CD4_target
891,B Cells,B Cells_target
892,CD4,CD4_target
893,Dendritic Cells,Dendritic Cells_target
894,CD4,CD4_target
895,CD4,CD4_target
896,Monocytes,Monocytes_target
897,CD4,CD4_target
898,CD4,CD4_target
899,CD4,CD4_target
900,CD8,CD8_target
901,CD4,CD4_target
902,CD4,CD4_target
903,CD4,CD4_target
904,CD4,CD4_target
905,CD8,CD8_target
906,CD8,CD8_target
907,CD8,CD8_target
908,CD8,CD8_target
909,CD4,CD4_target
910,CD4,CD4_target
911,CD8,CD8_target
912,B Cells,B Cells_target
913,CD8,CD8_target
914,CD4,CD4_target
915,CD4,CD4_target
916,CD4,CD4_target
917,CD4,CD4_target
918,Monocytes,Monocytes_target
919,Monocytes,Monocytes_target
920,CD8,CD8_target
921,Monocytes,Monocytes_target
922,Monocytes,Monocytes_target
923,Monocytes,Monocytes_target
924,CD4,CD4_target
925,CD8,CD8_target
926,CD4,CD4_target
927,CD4,CD4_target
928,CD8,CD8_target
929,Monocytes,Monocytes_target
930,Monocytes,Monocytes_target
931,HSPC,HSPC_target
932,CD4,CD4_target
933,Monocytes,Monocytes_target
934,Monocytes,Monocytes_target
935,CD8,CD8_target
936,Monocytes,Monocytes_target
937,Monocytes,Monocytes_target
938,B Cells,B Cells_target
939,CD4,CD4_target
940,Monocytes,Monocytes_target
941,Monocytes,Monocytes_target
942,Monocytes,Monocytes_target
943,CD8,CD8_target
944,Monocytes,Monocytes_target
945,CD4,CD4_target
946,CD4,CD4_target
947,Monocytes,Monocytes_target
948,Monocytes,Monocytes_target
949,Monocytes,Monocytes_target
950,CD4,CD4_target
951,CD4,CD4_target
952,CD4,CD4_target
953,Dendritic Cells,Dendritic Cells_target
954,Monocytes,Monocytes_target
955,Monocytes,Monocytes_target
956,CD8,CD8_target
957,Monocytes,Monocytes_target
958,NK,NK_target
959,B Cells,B Cells_target
960,Monocytes,Monocytes_target
961,Monocytes,Monocytes_target
962,CD4,CD4_target
963,Dendritic Cells,Dendritic Cells_target
964,Monocytes,Monocytes_target
965,CD4,CD4_target
966,CD4,CD4_target
967,Dendritic Cells,Dendritic Cells_target
968,CD4,CD4_target
969,Monocytes,Monocytes_target
970,CD4,CD4_target
971,Monocytes,Monocytes_target
972,Monocytes,Monocytes_target
973,Monocytes,Monocytes_target
974,Monocytes,Monocytes_target
975,Monocytes,Monocytes_target
976,B Cells,B Cells_target
977,CD8,CD8_target
978,Monocytes,Monocytes_target
979,Monocytes,Monocytes_target
980,Monocytes,Monocytes_target
981,CD4,CD4_target
982,Monocytes,Monocytes_target
983,Monocytes,Monocytes_target
984,CD4,CD4_target
985,Monocytes,Monocytes_target
986,Monocytes,Monocytes_target
987,CD8,CD8_target
988,B Cells,B Cells_target
989,MAIT,MAIT_target
990,NK,NK_target
991,Monocytes,Monocytes_target
992,Monocytes,Monocytes_target
993,CD4,CD4_target
994,CD8,CD8_target
995,Monocytes,Monocytes_target
996,Monocytes,Monocytes_target
997,Monocytes,Monocytes_target
998,CD8,CD8_target
999,NK,NK_target
1000,B Cells,B Cells_target
1001,CD4,CD4_target
1002,CD4,CD4_target
1003,CD8,CD8_target
1004,CD8,CD8_target
1005,Monocytes,Monocytes_target
1006,Monocytes,Monocytes_target
1007,CD4,CD4_target
1008,CD8,CD8_target
1009,Monocytes,Monocytes_target
1010,Monocytes,Monocytes_target
1011,CD8,CD8_target
1012,NK,NK_target
