Index,cell_type,is_train
783,CD4,1
784,CD4,1
785,CD4,1
786,Monocytes,1
787,CD8,1
788,Monocytes,1
789,CD8,0
790,Monocytes,0
791,CD4,1
792,CD8,1
793,CD4,1
794,Monocytes,0
795,Monocytes,1
796,Monocytes,1
797,CD4,1
798,Monocytes,0
799,CD4,1
800,CD8,1
801,Monocytes,1
802,CD8,1
803,Monocytes,1
804,Monocytes,1
805,Monocytes,1
806,B Cells,0
807,Monocytes,1
808,Monocytes,1
809,CD4,1
810,CD8,0
811,Monocytes,1
812,CD4,1
813,Monocytes,0
814,B Cells,1
815,CD4,1
816,Monocytes,1
817,CD8,1
818,CD8,1
819,CD8,1
820,Dendritic Cells,1
821,Monocytes,0
822,CD4,1
823,CD4,1
824,CD8,1
825,NK,1
826,CD4,1
827,CD8,0
828,Monocytes,1
829,Monocytes,1
830,CD8,1
831,CD4,1
832,CD4,1
833,CD8,1
834,Monocytes,1
835,B Cells,0
836,CD8,0
837,B Cells,1
838,NK,0
839,Monocytes,1
840,CD4,1
841,Monocytes,1
842,CD4,1
843,CD4,1
844,CD8,1
845,Monocytes,1
846,CD4,0
847,CD8,1
848,CD4,1
849,Monocytes,1
850,CD4,1
851,Monocytes,1
852,CD4,1
853,B Cells,0
854,Monocytes,1
855,Monocytes,1
856,CD8,1
857,CD8,1
858,CD8,1
859,CD4,0
860,Monocytes,1
861,CD4,1
862,CD4,1
863,B Cells,0
864,Monocytes,0
865,Monocytes,1
866,Monocytes,1
867,CD4,1
868,Monocytes,1
869,B Cells,1
870,Monocytes,1
871,Monocytes,0
872,Monocytes,1
873,CD8,1
874,Monocytes,1
875,Monocytes,1
876,CD4,0
877,CD8,1
878,CD8,0
879,Monocytes,1
880,Monocytes,1
881,CD8,0
882,Monocytes,0
883,CD8,1
884,Monocytes,0
885,CD4,1
886,CD4,0
887,NK,1
888,Monocytes,1
889,Monocytes,1
890,CD4,1
891,B Cells,1
892,CD4,0
893,Dendritic Cells,1
894,CD4,0
895,CD4,1
896,Monocytes,0
897,CD4,1
898,CD4,1
899,CD4,1
900,CD8,1
901,CD4,1
902,CD4,1
903,CD4,1
904,CD4,1
905,CD8,1
906,CD8,0
907,CD8,1
908,CD8,1
909,CD4,0
910,CD4,1
911,CD8,1
912,B Cells,1
913,CD8,1
914,CD4,1
915,CD4,0
916,CD4,0
917,CD4,1
918,Monocytes,1
919,Monocytes,0
920,CD8,1
921,Monocytes,1
922,Monocytes,0
923,Monocytes,1
924,CD4,0
925,CD8,0
926,CD4,1
927,CD4,1
928,CD8,0
929,Monocytes,0
930,Monocytes,1
931,HSPC,0
932,CD4,1
933,Monocytes,1
934,Monocytes,1
935,CD8,1
936,Monocytes,1
937,Monocytes,1
938,B Cells,0
939,CD4,1
940,Monocytes,0
941,Monocytes,1
942,Monocytes,1
943,CD8,0
944,Monocytes,1
945,CD4,1
946,CD4,1
947,Monocytes,0
948,Monocytes,1
949,Monocytes,1
950,CD4,1
951,CD4,0
952,CD4,1
953,Dendritic Cells,1
954,Monocytes,1
955,Monocytes,1
956,CD8,1
957,Monocytes,1
958,NK,1
959,B Cells,1
960,Monocytes,1
961,Monocytes,1
962,CD4,1
963,Dendritic Cells,0
964,Monocytes,1
965,CD4,1
966,CD4,1
967,Dendritic Cells,1
968,CD4,0
969,Monocytes,1
970,CD4,0
971,Monocytes,0
972,Monocytes,1
973,Monocytes,1
974,Monocytes,1
975,Monocytes,1
976,B Cells,1
977,CD8,1
978,Monocytes,0
979,Monocytes,1
980,Monocytes,1
981,CD4,1
982,Monocytes,1
983,Monocytes,1
984,CD4,1
985,Monocytes,1
986,Monocytes,1
987,CD8,1
988,B Cells,1
989,MAIT,1
990,NK,1
991,Monocytes,1
992,Monocytes,1
993,CD4,1
994,CD8,1
995,Monocytes,0
996,Monocytes,0
997,Monocytes,1
998,CD8,1
999,NK,1
1000,B Cells,0
1001,CD4,1
1002,CD4,0
1003,CD8,1
1004,CD8,1
1005,Monocytes,1
1006,Monocytes,0
1007,CD4,1
1008,CD8,1
1009,Monocytes,0
1010,Monocytes,0
1011,CD8,1
1012,NK,1
1013,CD8,1
1014,Monocytes,0
1015,CD4,1
1016,CD4,0
1017,B Cells,1
1018,Monocytes,0
1019,CD8,1
1020,CD8,1
1021,CD4,1
1022,CD8,1
1023,CD4,1
1024,Monocytes,1
1025,CD4,1
1026,Monocytes,1
1027,Monocytes,1
1028,CD4,1
1029,CD4,1
1030,CD4,1
1031,CD8,1
1032,Monocytes,1
1033,Monocytes,1
1034,CD4,1
1035,CD4,1
1036,CD4,1
1037,NK,1
1038,Monocytes,1
1039,B Cells,1
1040,CD4,1
1041,Monocytes,0
1042,Monocytes,1
1043,Monocytes,1
1044,Monocytes,0
1045,CD4,1
1046,CD4,1
1047,Monocytes,1
1048,Monocytes,0
1049,CD4,0
1050,CD8,1
1051,Monocytes,0
1052,CD8,1
1053,CD8,1
1054,Monocytes,1
1055,Monocytes,0
1056,CD4,1
1057,CD4,1
1058,CD8,0
1059,Monocytes,0
1060,CD4,1
1061,Monocytes,1
1062,CD4,1
1063,CD4,1
1064,CD4,0
1065,Monocytes,1
1066,CD8,1
1067,Monocytes,0
1068,CD4,0
1069,B Cells,0
1070,CD8,0
1071,Monocytes,1
1072,CD8,1
1073,CD4,1
1074,CD4,1
1075,CD8,1
1076,CD8,1
1077,Monocytes,0
1078,CD4,1
1079,CD4,1
1080,CD4,1
1081,CD4,1
1082,Monocytes,1
1083,Dendritic Cells,1
1084,NK,1
1085,B Cells,1
1086,CD8,0
1087,Monocytes,1
1088,CD8,1
1089,MAIT,1
1090,Monocytes,0
1091,CD8,1
1092,Monocytes,1
1093,NK,1
1094,Monocytes,1
1095,CD4,1
1096,NK,0
1097,Monocytes,1
1098,CD8,1
1099,Monocytes,1
1100,CD8,1
1101,CD8,0
1102,Monocytes,1
1103,Monocytes,1
1104,CD8,1
1105,B Cells,0
1106,CD4,1
1107,CD4,1
1108,Monocytes,1
1109,Monocytes,1
1110,B Cells,1
1111,Monocytes,1
1112,CD4,1
1113,CD4,1
1114,CD8,1
1115,B Cells,1
1116,Monocytes,1
1117,NK,1
1118,CD8,1
1119,B Cells,1
1120,CD8,0
1121,B Cells,1
1122,CD4,1
1123,CD8,0
1124,B Cells,0
1125,Monocytes,1
1126,CD8,1
1127,CD8,1
1128,Monocytes,1
1129,Dendritic Cells,1
1130,Monocytes,1
1131,Monocytes,0
1132,CD4,1
1133,CD4,1
1134,CD4,1
1135,NK,1
1136,CD4,1
1137,CD8,0
1138,CD8,1
1139,B Cells,1
1140,Monocytes,1
1141,Monocytes,0
1142,CD8,0
1143,Monocytes,1
1144,CD4,1
1145,B Cells,1
1146,CD8,1
1147,Monocytes,1
1148,Monocytes,1
1149,CD4,1
1150,CD8,1
1151,CD4,0
1152,CD4,1
1153,CD8,1
1154,MAIT,0
1155,Monocytes,0
1156,Monocytes,1
1157,Monocytes,1
1158,CD8,1
1159,Monocytes,1
1160,CD8,1
1161,CD4,1
1162,CD8,0
1163,CD4,1
1164,CD4,1
1165,CD8,1
1166,Monocytes,0
1167,Monocytes,1
1168,Monocytes,1
1169,Monocytes,1
1170,CD4,1
1171,CD4,0
1172,B Cells,1
1173,CD8,1
1174,CD4,1
1175,Monocytes,1
1176,CD4,0
1177,B Cells,1
1178,B Cells,1
1179,B Cells,1
1180,CD8,1
1181,Monocytes,0
1182,Monocytes,1
1183,Monocytes,1
1184,Monocytes,1
1185,MAIT,1
1186,CD8,0
1187,CD4,0
1188,Monocytes,1
1189,CD8,1
1190,MAIT,1
1191,CD8,1
1192,CD8,1
1193,CD4,1
1194,NK,0
1195,Dendritic Cells,1
1196,CD4,1
1197,CD4,1
1198,CD4,1
1199,CD4,1
1200,Monocytes,1
1201,CD8,1
1202,NK,1
1203,CD8,1
1204,Monocytes,1
1205,CD4,1
1206,CD4,1
1207,Monocytes,1
1208,CD8,1
1209,Monocytes,1
1210,CD8,1
1211,CD8,1
1212,Monocytes,1
1213,CD8,1
1214,Monocytes,0
1215,CD8,1
1216,Monocytes,1
1217,CD8,1
1218,CD4,1
1219,NK,1
1220,Monocytes,1
1221,CD8,1
1222,CD4,1
1223,CD4,1
1224,Monocytes,1
1225,B Cells,1
1226,CD4,0
1227,Dendritic Cells,1
1228,CD8,1
1229,CD8,1
1230,Monocytes,1
1231,Monocytes,1
1232,CD4,1
1233,Monocytes,1
1234,CD4,1
1235,B Cells,0
1236,CD8,1
1237,Monocytes,1
1238,Monocytes,1
1239,NK,0
1240,CD4,1
1241,Monocytes,0
1242,Monocytes,1
1243,CD8,1
1244,CD4,1
1245,CD4,1
1246,B Cells,1
1247,CD8,0
1248,B Cells,1
1249,CD8,1
1250,CD4,1
1251,CD4,1
1252,Monocytes,1
1253,Monocytes,1
1254,Monocytes,1
1255,Monocytes,1
1256,Monocytes,1
1257,CD4,1
1258,Monocytes,0
1259,CD8,1
1260,CD8,0
1261,Dendritic Cells,1
1262,Monocytes,1
1263,CD4,1
1264,CD8,1
1265,CD4,1
1266,Monocytes,1
1267,Monocytes,1
1268,CD8,1
1269,Monocytes,1
1270,CD4,1
1271,CD4,1
1272,Dendritic Cells,0
1273,CD4,1
1274,B Cells,1
1275,NK,1
1276,CD4,1
1277,CD8,0
1278,B Cells,1
1279,CD4,1
1280,Monocytes,1
1281,CD4,0
1282,CD4,1
1283,Monocytes,1
1284,CD4,1
1285,HSPC,1
1286,Monocytes,1
1287,CD8,0
1288,CD4,1
1289,Dendritic Cells,1
1290,CD4,1
1291,CD4,1
1292,CD4,1
1293,CD4,1
1294,CD4,1
1295,Monocytes,1
1296,CD8,1
1297,CD4,1
1298,CD8,0
1299,MAIT,1
1300,B Cells,1
1301,CD4,1
1302,CD8,1
1303,CD4,1
1304,CD4,1
1305,Monocytes,1
1306,Dendritic Cells,1
1307,CD4,1
1308,CD8,1
1309,CD4,1
1310,Monocytes,1
1311,Monocytes,1
1312,Monocytes,1
1313,Monocytes,1
1314,CD8,1
1315,CD4,1
1316,CD8,0
1317,CD4,1
1318,CD4,1
1319,CD4,1
1320,CD4,1
1321,CD8,1
1322,CD4,1
1323,B Cells,1
1324,CD8,1
1325,Monocytes,1
1326,Monocytes,1
1327,CD4,0
1328,Monocytes,1
1329,CD8,1
1330,CD4,1
1331,Dendritic Cells,0
1332,CD4,1
1333,Monocytes,1
1334,Dendritic Cells,1
1335,B Cells,1
1336,Monocytes,1
1337,Dendritic Cells,1
1338,Monocytes,1
1339,CD4,1
1340,Monocytes,1
1341,CD8,1
1342,Monocytes,1
1343,Monocytes,0
1344,CD8,0
1345,CD4,1
1346,Monocytes,1
1347,CD4,1
1348,Monocytes,1
1349,Monocytes,0
1350,CD4,1
1351,CD4,0
1352,Monocytes,1
1353,B Cells,1
1354,CD4,0
1355,Monocytes,1
1356,Monocytes,1
1357,CD4,1
1358,CD4,0
1359,CD4,0
1360,CD8,1
1361,CD8,1
1362,Dendritic Cells,0
1363,CD4,1
1364,CD4,1
1365,Monocytes,0
1366,Monocytes,1
1367,CD8,1
1368,NK,1
1369,Monocytes,0
1370,CD8,0
1371,CD8,1
1372,Monocytes,1
1373,B Cells,1
1374,B Cells,1
1375,NK,0
1376,CD4,1
1377,Monocytes,1
1378,CD8,1
1379,B Cells,0
1380,Monocytes,1
1381,Monocytes,1
1382,CD4,1
1383,CD4,1
1384,NK,1
1385,CD8,0
1386,CD4,1
1387,Monocytes,1
1388,CD4,0
1389,Dendritic Cells,0
1390,CD8,0
1391,CD8,1
1392,B Cells,0
1393,CD8,1
1394,CD8,0
1395,CD8,0
1396,CD8,0
1397,Monocytes,1
1398,CD4,1
1399,Monocytes,1
1400,CD8,1
1401,Dendritic Cells,1
1402,Monocytes,1
1403,CD8,1
1404,Monocytes,1
1405,CD4,1
1406,CD4,1
1407,CD8,0
1408,CD8,1
1409,Monocytes,1
1410,CD4,1
1411,Monocytes,1
1412,CD4,1
1413,CD4,1
1414,Monocytes,1
1415,CD4,1
1416,CD4,0
1417,NK,0
1418,CD4,1
1419,Monocytes,1
1420,Monocytes,1
1421,Dendritic Cells,1
1422,Monocytes,1
1423,Monocytes,0
1424,CD4,1
1425,CD4,0
1426,Monocytes,1
1427,CD4,1
1428,CD4,0
1429,MAIT,1
1430,CD8,1
1431,CD4,0
1432,CD8,1
1433,CD4,1
1434,Monocytes,1
1435,Monocytes,1
1436,CD8,1
1437,CD4,1
1438,Monocytes,1
1439,CD4,1
1440,CD4,1
1441,CD8,0
1442,CD8,1
1443,CD4,1
1444,CD4,1
1445,MAIT,1
1446,Monocytes,1
1447,CD4,1
1448,CD4,1
1449,Monocytes,0
1450,CD8,0
1451,CD4,1
1452,CD4,0
1453,MAIT,0
1454,Dendritic Cells,1
1455,CD8,1
1456,CD4,1
1457,Monocytes,0
1458,CD4,1
1459,Dendritic Cells,1
1460,Monocytes,1
1461,CD8,1
1462,Monocytes,1
1463,Monocytes,1
1464,Monocytes,1
1465,CD8,1
1466,B Cells,0
1467,CD8,1
1468,Monocytes,0
1469,CD4,1
1470,CD4,0
1471,CD4,1
1472,Monocytes,1
1473,B Cells,1
1474,B Cells,0
1475,CD4,1
1476,CD8,1
1477,CD8,1
1478,Dendritic Cells,1
1479,CD8,1
1480,Monocytes,1
1481,Monocytes,1
1482,CD4,0
1483,CD4,1
1484,HSPC,1
1485,B Cells,1
1486,CD8,1
1487,CD8,0
1488,Monocytes,1
1489,CD4,0
1490,Monocytes,1
1491,CD4,0
1492,MAIT,1
1493,CD4,1
1494,CD4,1
1495,B Cells,1
1496,CD8,1
1497,Monocytes,1
1498,CD4,1
1499,Monocytes,1
1500,CD4,1
1501,CD4,0
1502,CD4,1
1503,CD4,1
1504,CD4,1
1505,Monocytes,0
1506,Monocytes,0
1507,CD8,1
1508,Monocytes,1
1509,Monocytes,1
1510,CD4,1
1511,CD4,1
1512,CD4,1
1513,Monocytes,0
1514,CD4,1
1515,CD8,1
