Index,cell_type_00,cell_type_01,cell_type,cell_type_02
50_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
53_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
56_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
59_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
60_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
61_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
63_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
65_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
66_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
67_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
71_ATAC,MAIT,MAIT_ATAC,MAIT,MAIT_ATAC
72_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
75_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
76_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
77_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
78_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
79_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
80_ATAC,NK,NK_ATAC,NK,NK_ATAC
81_ATAC,NK,NK_ATAC,NK,NK_ATAC
82_ATAC,Treg,Treg_ATAC,CD4,CD4_ATAC
83_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
85_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
86_ATAC,Naive B,Naive B_ATAC,B Cells,B Cells_ATAC
88_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
89_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
91_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
92_ATAC,Intermediate B,Intermediate B_ATAC,B Cells,B Cells_ATAC
93_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
97_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
103_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
108_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
113_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
114_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
115_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
116_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
117_ATAC,NK,NK_ATAC,NK,NK_ATAC
118_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
119_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
120_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
121_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
122_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
123_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
124_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
125_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
127_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
128_ATAC,CD8 TEM_2,CD8 TEM_2_ATAC,CD8,CD8_ATAC
129_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
132_ATAC,pDC,pDC_ATAC,Dendritic Cells,Dendritic Cells_ATAC
133_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
134_ATAC,CD8 TEM_2,CD8 TEM_2_ATAC,CD8,CD8_ATAC
135_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
136_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
138_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
140_ATAC,Naive B,Naive B_ATAC,B Cells,B Cells_ATAC
141_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
142_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
143_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
144_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
145_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
146_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
147_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
149_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
150_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
152_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
153_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
154_ATAC,CD4 TEM,CD4 TEM_ATAC,CD4,CD4_ATAC
155_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
156_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
157_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
158_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
164_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
165_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
166_ATAC,MAIT,MAIT_ATAC,MAIT,MAIT_ATAC
168_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
169_ATAC,gdT,gdT_ATAC,CD8,CD8_ATAC
170_ATAC,cDC,cDC_ATAC,Dendritic Cells,Dendritic Cells_ATAC
171_ATAC,Treg,Treg_ATAC,CD4,CD4_ATAC
173_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
174_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
175_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
178_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
183_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
184_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
188_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
189_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
190_ATAC,gdT,gdT_ATAC,CD8,CD8_ATAC
192_ATAC,Naive B,Naive B_ATAC,B Cells,B Cells_ATAC
193_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
194_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
197_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
200_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
202_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
204_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
205_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
206_ATAC,CD8 TEM_2,CD8 TEM_2_ATAC,CD8,CD8_ATAC
207_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
208_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
209_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
210_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
211_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
213_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
214_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
215_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
216_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
218_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
220_ATAC,CD8 TEM_2,CD8 TEM_2_ATAC,CD8,CD8_ATAC
223_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
224_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
226_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
230_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
231_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
232_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
233_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
235_ATAC,Intermediate B,Intermediate B_ATAC,B Cells,B Cells_ATAC
236_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
238_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
239_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
242_ATAC,CD8 TEM_2,CD8 TEM_2_ATAC,CD8,CD8_ATAC
243_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
245_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
247_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
248_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
249_ATAC,NK,NK_ATAC,NK,NK_ATAC
250_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
251_ATAC,gdT,gdT_ATAC,CD8,CD8_ATAC
252_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
253_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
254_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
257_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
258_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
260_ATAC,CD4 TEM,CD4 TEM_ATAC,CD4,CD4_ATAC
262_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
263_ATAC,CD4 TEM,CD4 TEM_ATAC,CD4,CD4_ATAC
264_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
265_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
268_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
269_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
270_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
273_ATAC,gdT,gdT_ATAC,CD8,CD8_ATAC
274_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
275_ATAC,CD8 TEM_2,CD8 TEM_2_ATAC,CD8,CD8_ATAC
276_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
278_ATAC,gdT,gdT_ATAC,CD8,CD8_ATAC
279_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
283_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
284_ATAC,CD4 TEM,CD4 TEM_ATAC,CD4,CD4_ATAC
285_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
287_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
288_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
290_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
294_ATAC,CD8 TEM_2,CD8 TEM_2_ATAC,CD8,CD8_ATAC
296_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
297_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
298_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
299_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
300_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
301_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
302_ATAC,Intermediate B,Intermediate B_ATAC,B Cells,B Cells_ATAC
303_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
304_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
306_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
307_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
308_ATAC,Naive B,Naive B_ATAC,B Cells,B Cells_ATAC
309_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
311_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
313_ATAC,Intermediate B,Intermediate B_ATAC,B Cells,B Cells_ATAC
314_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
315_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
317_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
318_ATAC,cDC,cDC_ATAC,Dendritic Cells,Dendritic Cells_ATAC
321_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
322_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
323_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
324_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
325_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
326_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
327_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
330_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
332_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
334_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
335_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
337_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
339_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
342_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
343_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
345_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
346_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
348_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
349_ATAC,MAIT,MAIT_ATAC,MAIT,MAIT_ATAC
351_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
352_ATAC,CD4 TEM,CD4 TEM_ATAC,CD4,CD4_ATAC
353_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
354_ATAC,Treg,Treg_ATAC,CD4,CD4_ATAC
355_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
356_ATAC,pDC,pDC_ATAC,Dendritic Cells,Dendritic Cells_ATAC
357_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
358_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
361_ATAC,NK,NK_ATAC,NK,NK_ATAC
362_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
363_ATAC,Treg,Treg_ATAC,CD4,CD4_ATAC
364_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
366_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
367_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
368_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
370_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
371_ATAC,NK,NK_ATAC,NK,NK_ATAC
372_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
373_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
374_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
375_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
378_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
379_ATAC,MAIT,MAIT_ATAC,MAIT,MAIT_ATAC
380_ATAC,NK,NK_ATAC,NK,NK_ATAC
382_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
384_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
386_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
387_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
389_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
390_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
392_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
394_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
396_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
397_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
398_ATAC,CD4 TEM,CD4 TEM_ATAC,CD4,CD4_ATAC
400_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
401_ATAC,CD4 TEM,CD4 TEM_ATAC,CD4,CD4_ATAC
402_ATAC,gdT,gdT_ATAC,CD8,CD8_ATAC
403_ATAC,Intermediate B,Intermediate B_ATAC,B Cells,B Cells_ATAC
405_ATAC,cDC,cDC_ATAC,Dendritic Cells,Dendritic Cells_ATAC
406_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
408_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
409_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
412_ATAC,cDC,cDC_ATAC,Dendritic Cells,Dendritic Cells_ATAC
413_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
416_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
417_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
419_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
420_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
421_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
423_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
425_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
426_ATAC,MAIT,MAIT_ATAC,MAIT,MAIT_ATAC
428_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
429_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
430_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
433_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
434_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
435_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
437_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
440_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
441_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
442_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
443_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
444_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
445_ATAC,CD8 TEM_2,CD8 TEM_2_ATAC,CD8,CD8_ATAC
446_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
448_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
451_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
452_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
453_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
454_ATAC,cDC,cDC_ATAC,Dendritic Cells,Dendritic Cells_ATAC
455_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
457_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
458_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
459_ATAC,CD8 TEM_2,CD8 TEM_2_ATAC,CD8,CD8_ATAC
460_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
464_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
465_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
467_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
469_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
473_ATAC,Intermediate B,Intermediate B_ATAC,B Cells,B Cells_ATAC
475_ATAC,Naive B,Naive B_ATAC,B Cells,B Cells_ATAC
476_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
477_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
478_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
479_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
480_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
481_ATAC,gdT,gdT_ATAC,CD8,CD8_ATAC
484_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
485_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
486_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
488_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
490_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
491_ATAC,NK,NK_ATAC,NK,NK_ATAC
493_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
494_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
495_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
496_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
497_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
498_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
500_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
501_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
502_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
503_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
504_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
