Index,cell_type_00,cell_type_01,cell_type,cell_type_02
44_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
45_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
47_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
48_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
49_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
50_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
51_RNA,NK,NK_RNA,NK,NK_RNA
52_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
55_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
56_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
58_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
61_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
63_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
64_RNA,Plasma,Plasma_RNA,B Cells,B Cells_RNA
65_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
68_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
69_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
70_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
71_RNA,MAIT,MAIT_RNA,MAIT,MAIT_RNA
74_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
75_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
76_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
77_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
80_RNA,NK,NK_RNA,NK,NK_RNA
85_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
86_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
88_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
90_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
91_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
92_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
93_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
94_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
96_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
97_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
100_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
101_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
102_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
103_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
104_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
106_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
107_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
108_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
110_RNA,gdT,gdT_RNA,CD8,CD8_RNA
111_RNA,gdT,gdT_RNA,CD8,CD8_RNA
113_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
114_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
115_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
116_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
117_RNA,NK,NK_RNA,NK,NK_RNA
118_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
119_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
120_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
121_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
122_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
123_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
124_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
125_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
127_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
128_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
129_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
130_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
131_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
134_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
135_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
139_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
140_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
141_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
142_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
144_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
145_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
146_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
147_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
148_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
149_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
150_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
151_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
152_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
153_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
155_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
156_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
157_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
159_RNA,NK,NK_RNA,NK,NK_RNA
163_RNA,gdT,gdT_RNA,CD8,CD8_RNA
164_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
165_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
170_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
171_RNA,Treg,Treg_RNA,CD4,CD4_RNA
172_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
173_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
174_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
175_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
176_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
178_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
179_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
180_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
181_RNA,NK,NK_RNA,NK,NK_RNA
182_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
184_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
186_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
187_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
188_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
190_RNA,gdT,gdT_RNA,CD8,CD8_RNA
191_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
192_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
199_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
200_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
203_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
204_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
205_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
206_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
208_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
209_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
213_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
214_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
215_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
216_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
217_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
219_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
220_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
221_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
222_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
226_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
227_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
231_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
232_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
233_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
234_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
235_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
237_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
238_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
242_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
245_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
246_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
250_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
253_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
257_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
261_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
263_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
264_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
265_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
266_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
268_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
269_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
270_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
271_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
272_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
275_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
276_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
277_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
278_RNA,gdT,gdT_RNA,CD8,CD8_RNA
279_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
280_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
281_RNA,gdT,gdT_RNA,CD8,CD8_RNA
282_RNA,NK,NK_RNA,NK,NK_RNA
283_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
286_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
287_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
288_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
289_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
290_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
292_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
293_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
296_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
298_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
301_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
305_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
307_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
308_RNA,Naive B,Naive B_RNA,B Cells,B Cells_RNA
309_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
310_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
311_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
312_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
313_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
317_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
319_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
320_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
321_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
322_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
323_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
324_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
325_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
327_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
328_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
330_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
331_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
332_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
333_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
334_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
335_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
337_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
338_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
339_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
340_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
342_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
343_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
345_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
346_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
347_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
348_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
350_RNA,Treg,Treg_RNA,CD4,CD4_RNA
352_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
354_RNA,Treg,Treg_RNA,CD4,CD4_RNA
355_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
356_RNA,pDC,pDC_RNA,Dendritic Cells,Dendritic Cells_RNA
357_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
359_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
360_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
361_RNA,NK,NK_RNA,NK,NK_RNA
362_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
364_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
365_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
366_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
367_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
370_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
371_RNA,NK,NK_RNA,NK,NK_RNA
373_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
377_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
379_RNA,MAIT,MAIT_RNA,MAIT,MAIT_RNA
381_RNA,pDC,pDC_RNA,Dendritic Cells,Dendritic Cells_RNA
382_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
383_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
385_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
386_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
387_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
388_RNA,Treg,Treg_RNA,CD4,CD4_RNA
389_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
391_RNA,Treg,Treg_RNA,CD4,CD4_RNA
392_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
393_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
394_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
395_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
397_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
399_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
400_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
401_RNA,CD4 TEM,CD4 TEM_RNA,CD4,CD4_RNA
402_RNA,gdT,gdT_RNA,CD8,CD8_RNA
403_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
404_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
405_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
406_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
408_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
409_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
412_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
413_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
416_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
417_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
418_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
419_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
420_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
421_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
422_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
425_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
427_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
428_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
429_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
431_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
435_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
437_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
438_RNA,Treg,Treg_RNA,CD4,CD4_RNA
440_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
441_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
442_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
443_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
444_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
445_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
446_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
448_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
451_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
453_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
456_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
457_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
458_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
459_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
460_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
461_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
462_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
463_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
464_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
465_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
466_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
468_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
470_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
472_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
473_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
474_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
476_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
478_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
479_RNA,Memory B,Memory B_RNA,B Cells,B Cells_RNA
480_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
481_RNA,gdT,gdT_RNA,CD8,CD8_RNA
482_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
484_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
486_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
488_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
489_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
490_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
491_RNA,NK,NK_RNA,NK,NK_RNA
492_RNA,MAIT,MAIT_RNA,MAIT,MAIT_RNA
493_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
494_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
498_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
499_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
501_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
502_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
503_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
504_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
505_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
506_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
507_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
508_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
509_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
510_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
511_RNA,CD8 TEM_2,CD8 TEM_2_RNA,CD8,CD8_RNA
512_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
515_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
517_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
518_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
520_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
521_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
522_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
523_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
524_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
526_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
527_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
528_RNA,NK,NK_RNA,NK,NK_RNA
